USER: b605a256d4c8ee8b320cb265898fa2 || AGREED: True
USER: b605a256d4c8ee8b320cb265898fa2 || GROUP: cts
USER: b605a256d4c8ee8b320cb265898fa2 || GOAL_INDICES: 2,3,4
USER: 9424463765f172f5bfb4465ca43bff || AGREED: True
USER: 9424463765f172f5bfb4465ca43bff || GROUP: cts
USER: 9424463765f172f5bfb4465ca43bff || GOAL_INDICES: 0,1,0
USER: cb8d48c57182851b8d62eb2400885f || AGREED: True
USER: cb8d48c57182851b8d62eb2400885f || GROUP: cts
USER: cb8d48c57182851b8d62eb2400885f || GOAL_INDICES: 3,0,4
USER: 69e746ae2e242f850a4a29a9e50ad5 || AGREED: True
USER: 69e746ae2e242f850a4a29a9e50ad5 || GROUP: cts
USER: 69e746ae2e242f850a4a29a9e50ad5 || GOAL_INDICES: 1,4,3
USER: 7ad16eb7438e5306d32d36c3293364 || AGREED: True
USER: 7ad16eb7438e5306d32d36c3293364 || GROUP: cts
USER: 7ad16eb7438e5306d32d36c3293364 || GOAL_INDICES: 2,1,2
USER: 3dcb8bebb7e2be81eac1d967c8f678 || AGREED: True
USER: 3dcb8bebb7e2be81eac1d967c8f678 || GROUP: cts
USER: 3dcb8bebb7e2be81eac1d967c8f678 || GOAL_INDICES: 1,2,1
USER: cf84bf013aa9ea515c3fde0121f130 || AGREED: True
USER: cf84bf013aa9ea515c3fde0121f130 || GROUP: cts
USER: cf84bf013aa9ea515c3fde0121f130 || GOAL_INDICES: 1,2,1
USER: 40ac355a1fb1d8ec9a7741b6584af6 || AGREED: True
USER: 40ac355a1fb1d8ec9a7741b6584af6 || GROUP: cts
USER: 40ac355a1fb1d8ec9a7741b6584af6 || GOAL_INDICES: 3,4,2
USER: 51ab895e88d0ad10e989eb82d0bdb6 || AGREED: True
USER: 51ab895e88d0ad10e989eb82d0bdb6 || GROUP: cts
USER: 51ab895e88d0ad10e989eb82d0bdb6 || GOAL_INDICES: 2,0,0
USER: dc967200b041c05be435b0b98fe2dc || AGREED: True
USER: dc967200b041c05be435b0b98fe2dc || GROUP: cts
USER: dc967200b041c05be435b0b98fe2dc || GOAL_INDICES: 1,2,4
USER: 81e4a5dc87e754bc8f5ca09ea06b5c || AGREED: True
USER: 81e4a5dc87e754bc8f5ca09ea06b5c || GROUP: cts
USER: 81e4a5dc87e754bc8f5ca09ea06b5c || GOAL_INDICES: 2,3,2
USER: 73055a2253f5f15454466c6c2768d3 || AGREED: True
USER: 73055a2253f5f15454466c6c2768d3 || GROUP: cts
USER: 73055a2253f5f15454466c6c2768d3 || GOAL_INDICES: 0,0,0
USER: 95e0c876a0a9705054cc37f0aabdc7 || AGREED: True
USER: 95e0c876a0a9705054cc37f0aabdc7 || GROUP: cts
USER: 95e0c876a0a9705054cc37f0aabdc7 || GOAL_INDICES: 1,4,1
USER: 96554bef85eff367e50863e7f47a2d || AGREED: True
USER: 96554bef85eff367e50863e7f47a2d || GROUP: cts
USER: 96554bef85eff367e50863e7f47a2d || GOAL_INDICES: 2,1,1
USER: 1c12c92ae12dfb635103a0d179258e || AGREED: True
USER: 1c12c92ae12dfb635103a0d179258e || GROUP: cts
USER: 1c12c92ae12dfb635103a0d179258e || GOAL_INDICES: 2,3,4
USER: f6d66992e1ca6efeddc7451052240e || AGREED: True
USER: f6d66992e1ca6efeddc7451052240e || GROUP: cts
USER: f6d66992e1ca6efeddc7451052240e || GOAL_INDICES: 0,1,0
USER: b0d327a4da2ba06695ab1d2874fcc0 || AGREED: True
USER: b0d327a4da2ba06695ab1d2874fcc0 || GROUP: cts
USER: b0d327a4da2ba06695ab1d2874fcc0 || GOAL_INDICES: 3,0,4
USER: 7c059fbe85a2415bec8d372f5b9a96 || AGREED: True
USER: 7c059fbe85a2415bec8d372f5b9a96 || GROUP: cts
USER: 7c059fbe85a2415bec8d372f5b9a96 || GOAL_INDICES: 1,4,3
USER: 9c684c2c6abb202ee607c3e38df6d6 || AGREED: True
USER: 9c684c2c6abb202ee607c3e38df6d6 || GROUP: cts
USER: 9c684c2c6abb202ee607c3e38df6d6 || GOAL_INDICES: 2,1,2
USER: 065a377639d60e104cfdd66f68e1db || AGREED: True
USER: 065a377639d60e104cfdd66f68e1db || GROUP: cts
USER: 065a377639d60e104cfdd66f68e1db || GOAL_INDICES: 1,2,1
USER: a655c0da4993eff5332735d36d1338 || AGREED: True
USER: a655c0da4993eff5332735d36d1338 || GROUP: cts
USER: a655c0da4993eff5332735d36d1338 || GOAL_INDICES: 1,2,1
USER: deeaf6cd3b0de1978289795e7a96df || AGREED: True
USER: deeaf6cd3b0de1978289795e7a96df || GROUP: cts
USER: deeaf6cd3b0de1978289795e7a96df || GOAL_INDICES: 3,4,2
USER: 4beb52d8d9ec24085669500b03e4dc || AGREED: True
USER: 4beb52d8d9ec24085669500b03e4dc || GROUP: cts
USER: 4beb52d8d9ec24085669500b03e4dc || GOAL_INDICES: 2,0,0
USER: 52294614b51ef6bf0986ea3aad6788 || AGREED: True
USER: 52294614b51ef6bf0986ea3aad6788 || GROUP: cts
USER: 52294614b51ef6bf0986ea3aad6788 || GOAL_INDICES: 1,2,4
USER: 6d44179da1563592c5e344b692971e || AGREED: True
USER: 6d44179da1563592c5e344b692971e || GROUP: faq
USER: 6d44179da1563592c5e344b692971e || GOAL_INDICES: 2,1,1
USER: 9ca122597c1202b50061404326cd1d || AGREED: True
USER: 9ca122597c1202b50061404326cd1d || GROUP: faq
USER: 9ca122597c1202b50061404326cd1d || GOAL_INDICES: 2,3,4
USER: c334bbab21038ec5b0e8ef2532ca98 || AGREED: True
USER: c334bbab21038ec5b0e8ef2532ca98 || GROUP: faq
USER: c334bbab21038ec5b0e8ef2532ca98 || GOAL_INDICES: 0,1,0
USER: dd245671ec7246a2ddf0308bf900ed || AGREED: True
USER: dd245671ec7246a2ddf0308bf900ed || GROUP: faq
USER: dd245671ec7246a2ddf0308bf900ed || GOAL_INDICES: 2,1,1
USER: b8e63eafb8b739a9afbdc07936e3d9 || AGREED: True
USER: b8e63eafb8b739a9afbdc07936e3d9 || GROUP: faq
USER: b8e63eafb8b739a9afbdc07936e3d9 || GOAL_INDICES: 2,3,4
USER: 7bc26d20092c35be168b3c702b3ff5 || AGREED: True
USER: 7bc26d20092c35be168b3c702b3ff5 || GROUP: faq
USER: 7bc26d20092c35be168b3c702b3ff5 || GOAL_INDICES: 0,1,0
USER: 7981a2cb007ba83846ba25c00b163f || AGREED: True
USER: 7981a2cb007ba83846ba25c00b163f || GROUP: faq
USER: 7981a2cb007ba83846ba25c00b163f || GOAL_INDICES: 3,0,4
USER: be07cc2f28ed5eafa09a432ff5f14c || AGREED: True
USER: be07cc2f28ed5eafa09a432ff5f14c || GROUP: faq
USER: be07cc2f28ed5eafa09a432ff5f14c || GOAL_INDICES: 1,4,3
USER: 430de41a3e698669b0b72ac6369fdd || AGREED: True
USER: 430de41a3e698669b0b72ac6369fdd || GROUP: faq
USER: 430de41a3e698669b0b72ac6369fdd || GOAL_INDICES: 2,1,2
USER: de6c54120f63fc4a569c1735655b4e || AGREED: True
USER: de6c54120f63fc4a569c1735655b4e || GROUP: faq
USER: de6c54120f63fc4a569c1735655b4e || GOAL_INDICES: 1,2,1
USER: 0f7453ed7e2a7d60350698c1343c32 || AGREED: True
USER: 0f7453ed7e2a7d60350698c1343c32 || GROUP: faq
USER: 0f7453ed7e2a7d60350698c1343c32 || GOAL_INDICES: 1,2,1
USER: 70dc75e8c252d187be492c1be79b33 || AGREED: True
USER: 70dc75e8c252d187be492c1be79b33 || GROUP: faq
USER: 70dc75e8c252d187be492c1be79b33 || GOAL_INDICES: 3,4,2
USER: 9a2703aa0688484505f242f8bbf8d1 || AGREED: True
USER: 9a2703aa0688484505f242f8bbf8d1 || GROUP: faq
USER: 9a2703aa0688484505f242f8bbf8d1 || GOAL_INDICES: 2,0,0
USER: 4c56b791532b2baae6b7eba1a8af9b || AGREED: True
USER: 4c56b791532b2baae6b7eba1a8af9b || GROUP: faq
USER: 4c56b791532b2baae6b7eba1a8af9b || GOAL_INDICES: 1,2,4
USER: 7252eaa5da52fa0e0c9a7146d2c78b || AGREED: True
USER: 7252eaa5da52fa0e0c9a7146d2c78b || GROUP: faq
USER: 7252eaa5da52fa0e0c9a7146d2c78b || GOAL_INDICES: 2,3,2
USER: 373292acc466b7540b4da32575227f || AGREED: True
USER: 373292acc466b7540b4da32575227f || GROUP: faq
USER: 373292acc466b7540b4da32575227f || GOAL_INDICES: 0,0,0
USER: 88be59647581deb262307b4ba42c67 || AGREED: True
USER: 88be59647581deb262307b4ba42c67 || GROUP: faq
USER: 88be59647581deb262307b4ba42c67 || GOAL_INDICES: 1,4,1
USER: 997737fd3e5a316e16a9fe575c3c94 || AGREED: True
USER: 997737fd3e5a316e16a9fe575c3c94 || GROUP: faq
USER: 997737fd3e5a316e16a9fe575c3c94 || GOAL_INDICES: 0,1,2
USER: 39f64ccdabe4372ed615752f572e41 || AGREED: True
USER: 39f64ccdabe4372ed615752f572e41 || GROUP: faq
USER: 39f64ccdabe4372ed615752f572e41 || GOAL_INDICES: 3,2,3
USER: 7b86ffdd1f544b2ff30b86ba8b8c25 || AGREED: True
USER: 7b86ffdd1f544b2ff30b86ba8b8c25 || GROUP: faq
USER: 7b86ffdd1f544b2ff30b86ba8b8c25 || GOAL_INDICES: 2,3,2
USER: 13c8e631cc837d9daaf64eb658a0f4 || AGREED: True
USER: 13c8e631cc837d9daaf64eb658a0f4 || GROUP: faq
USER: 13c8e631cc837d9daaf64eb658a0f4 || GOAL_INDICES: 1,3,3
USER: 2c956e456918b2d8207b052c82e8d9 || AGREED: True
USER: 2c956e456918b2d8207b052c82e8d9 || GROUP: faq
USER: 2c956e456918b2d8207b052c82e8d9 || GOAL_INDICES: 0,4,0
USER: 562db0d432a4918a3e2b4fc1ab0ac9 || AGREED: True
USER: 562db0d432a4918a3e2b4fc1ab0ac9 || GROUP: hdc
USER: 562db0d432a4918a3e2b4fc1ab0ac9 || GOAL_INDICES: 2,3,4
USER: bdd856b672ac99f02096f1b0fd6b03 || AGREED: True
USER: bdd856b672ac99f02096f1b0fd6b03 || GROUP: hdc
USER: bdd856b672ac99f02096f1b0fd6b03 || GOAL_INDICES: 0,1,0
USER: b31abe70f9457ba9f13dd77ae3863a || AGREED: True
USER: b31abe70f9457ba9f13dd77ae3863a || GROUP: hdc
USER: b31abe70f9457ba9f13dd77ae3863a || GOAL_INDICES: 3,0,4
USER: 24413921ec243ff743a5a53ffbb51c || AGREED: True
USER: 24413921ec243ff743a5a53ffbb51c || GROUP: hdc
USER: 24413921ec243ff743a5a53ffbb51c || GOAL_INDICES: 1,4,3
USER: ece2aa21ec41b1a612611f32724525 || AGREED: True
USER: ece2aa21ec41b1a612611f32724525 || GROUP: hdc
USER: ece2aa21ec41b1a612611f32724525 || GOAL_INDICES: 2,1,2
USER: daddc76437d328b08c7c776782eb34 || AGREED: True
USER: daddc76437d328b08c7c776782eb34 || GROUP: hdc
USER: daddc76437d328b08c7c776782eb34 || GOAL_INDICES: 1,2,1
USER: aa0711803864dcdab860f4e2443f8e || AGREED: True
USER: aa0711803864dcdab860f4e2443f8e || GROUP: hdc
USER: aa0711803864dcdab860f4e2443f8e || GOAL_INDICES: 1,2,1
USER: b284d3f286ce58f9587ec7c8bdc73c || AGREED: True
USER: b284d3f286ce58f9587ec7c8bdc73c || GROUP: hdc
