USER: b605a256d4c8ee8b320cb265898fa2 || AGREED: True
USER: b605a256d4c8ee8b320cb265898fa2 || GROUP: cts
USER: b605a256d4c8ee8b320cb265898fa2 || GOAL_INDICES: 2,3,4
USER: 9424463765f172f5bfb4465ca43bff || AGREED: True
USER: 9424463765f172f5bfb4465ca43bff || GROUP: cts
USER: 9424463765f172f5bfb4465ca43bff || GOAL_INDICES: 0,1,0
USER: cb8d48c57182851b8d62eb2400885f || AGREED: True
USER: cb8d48c57182851b8d62eb2400885f || GROUP: cts
USER: cb8d48c57182851b8d62eb2400885f || GOAL_INDICES: 3,0,4
USER: 69e746ae2e242f850a4a29a9e50ad5 || AGREED: True
USER: 69e746ae2e242f850a4a29a9e50ad5 || GROUP: cts
USER: 69e746ae2e242f850a4a29a9e50ad5 || GOAL_INDICES: 1,4,3
USER: 7ad16eb7438e5306d32d36c3293364 || AGREED: True
USER: 7ad16eb7438e5306d32d36c3293364 || GROUP: cts
USER: 7ad16eb7438e5306d32d36c3293364 || GOAL_INDICES: 2,1,2
USER: 3dcb8bebb7e2be81eac1d967c8f678 || AGREED: True
USER: 3dcb8bebb7e2be81eac1d967c8f678 || GROUP: cts
USER: 3dcb8bebb7e2be81eac1d967c8f678 || GOAL_INDICES: 1,2,1
USER: cf84bf013aa9ea515c3fde0121f130 || AGREED: True
USER: cf84bf013aa9ea515c3fde0121f130 || GROUP: cts
USER: cf84bf013aa9ea515c3fde0121f130 || GOAL_INDICES: 1,2,1
USER: 40ac355a1fb1d8ec9a7741b6584af6 || AGREED: True
USER: 40ac355a1fb1d8ec9a7741b6584af6 || GROUP: cts
USER: 40ac355a1fb1d8ec9a7741b6584af6 || GOAL_INDICES: 3,4,2
USER: 51ab895e88d0ad10e989eb82d0bdb6 || AGREED: True
USER: 51ab895e88d0ad10e989eb82d0bdb6 || GROUP: cts
USER: 51ab895e88d0ad10e989eb82d0bdb6 || GOAL_INDICES: 2,0,0
USER: dc967200b041c05be435b0b98fe2dc || AGREED: True
USER: dc967200b041c05be435b0b98fe2dc || GROUP: cts
USER: dc967200b041c05be435b0b98fe2dc || GOAL_INDICES: 1,2,4
USER: 81e4a5dc87e754bc8f5ca09ea06b5c || AGREED: True
USER: 81e4a5dc87e754bc8f5ca09ea06b5c || GROUP: cts
USER: 81e4a5dc87e754bc8f5ca09ea06b5c || GOAL_INDICES: 2,3,2
USER: 73055a2253f5f15454466c6c2768d3 || AGREED: True
USER: 73055a2253f5f15454466c6c2768d3 || GROUP: cts
USER: 73055a2253f5f15454466c6c2768d3 || GOAL_INDICES: 0,0,0
USER: 95e0c876a0a9705054cc37f0aabdc7 || AGREED: True
USER: 95e0c876a0a9705054cc37f0aabdc7 || GROUP: cts
USER: 95e0c876a0a9705054cc37f0aabdc7 || GOAL_INDICES: 1,4,1
USER: 96554bef85eff367e50863e7f47a2d || AGREED: True
USER: 96554bef85eff367e50863e7f47a2d || GROUP: cts
USER: 96554bef85eff367e50863e7f47a2d || GOAL_INDICES: 2,1,1
USER: 1c12c92ae12dfb635103a0d179258e || AGREED: True
USER: 1c12c92ae12dfb635103a0d179258e || GROUP: cts
USER: 1c12c92ae12dfb635103a0d179258e || GOAL_INDICES: 2,3,4
USER: f6d66992e1ca6efeddc7451052240e || AGREED: True
USER: f6d66992e1ca6efeddc7451052240e || GROUP: cts
USER: f6d66992e1ca6efeddc7451052240e || GOAL_INDICES: 0,1,0
USER: b0d327a4da2ba06695ab1d2874fcc0 || AGREED: True
USER: b0d327a4da2ba06695ab1d2874fcc0 || GROUP: cts
USER: b0d327a4da2ba06695ab1d2874fcc0 || GOAL_INDICES: 3,0,4
USER: 7c059fbe85a2415bec8d372f5b9a96 || AGREED: True
USER: 7c059fbe85a2415bec8d372f5b9a96 || GROUP: cts
USER: 7c059fbe85a2415bec8d372f5b9a96 || GOAL_INDICES: 1,4,3
USER: 9c684c2c6abb202ee607c3e38df6d6 || AGREED: True
USER: 9c684c2c6abb202ee607c3e38df6d6 || GROUP: cts
USER: 9c684c2c6abb202ee607c3e38df6d6 || GOAL_INDICES: 2,1,2
USER: 065a377639d60e104cfdd66f68e1db || AGREED: True
USER: 065a377639d60e104cfdd66f68e1db || GROUP: cts
USER: 065a377639d60e104cfdd66f68e1db || GOAL_INDICES: 1,2,1
USER: a655c0da4993eff5332735d36d1338 || AGREED: True
USER: a655c0da4993eff5332735d36d1338 || GROUP: cts
USER: a655c0da4993eff5332735d36d1338 || GOAL_INDICES: 1,2,1
USER: deeaf6cd3b0de1978289795e7a96df || AGREED: True
USER: deeaf6cd3b0de1978289795e7a96df || GROUP: cts
USER: deeaf6cd3b0de1978289795e7a96df || GOAL_INDICES: 3,4,2
USER: 4beb52d8d9ec24085669500b03e4dc || AGREED: True
USER: 4beb52d8d9ec24085669500b03e4dc || GROUP: cts
USER: 4beb52d8d9ec24085669500b03e4dc || GOAL_INDICES: 2,0,0
USER: 52294614b51ef6bf0986ea3aad6788 || AGREED: True
USER: 52294614b51ef6bf0986ea3aad6788 || GROUP: cts
USER: 52294614b51ef6bf0986ea3aad6788 || GOAL_INDICES: 1,2,4
