USER: b605a256d4c8ee8b320cb265898fa2 || AGREED: True
USER: b605a256d4c8ee8b320cb265898fa2 || GROUP: cts
USER: b605a256d4c8ee8b320cb265898fa2 || GOAL_INDICES: 2,3,4
USER: 9424463765f172f5bfb4465ca43bff || AGREED: True
USER: 9424463765f172f5bfb4465ca43bff || GROUP: cts
USER: 9424463765f172f5bfb4465ca43bff || GOAL_INDICES: 0,1,0
USER: cb8d48c57182851b8d62eb2400885f || AGREED: True
USER: cb8d48c57182851b8d62eb2400885f || GROUP: cts
USER: cb8d48c57182851b8d62eb2400885f || GOAL_INDICES: 3,0,4
USER: 69e746ae2e242f850a4a29a9e50ad5 || AGREED: True
USER: 69e746ae2e242f850a4a29a9e50ad5 || GROUP: cts
USER: 69e746ae2e242f850a4a29a9e50ad5 || GOAL_INDICES: 1,4,3
USER: 7ad16eb7438e5306d32d36c3293364 || AGREED: True
USER: 7ad16eb7438e5306d32d36c3293364 || GROUP: cts
USER: 7ad16eb7438e5306d32d36c3293364 || GOAL_INDICES: 2,1,2
USER: 3dcb8bebb7e2be81eac1d967c8f678 || AGREED: True
USER: 3dcb8bebb7e2be81eac1d967c8f678 || GROUP: cts
USER: 3dcb8bebb7e2be81eac1d967c8f678 || GOAL_INDICES: 1,2,1
USER: cf84bf013aa9ea515c3fde0121f130 || AGREED: True
USER: cf84bf013aa9ea515c3fde0121f130 || GROUP: cts
USER: cf84bf013aa9ea515c3fde0121f130 || GOAL_INDICES: 1,2,1
USER: 40ac355a1fb1d8ec9a7741b6584af6 || AGREED: True
USER: 40ac355a1fb1d8ec9a7741b6584af6 || GROUP: cts
USER: 40ac355a1fb1d8ec9a7741b6584af6 || GOAL_INDICES: 3,4,2
USER: 51ab895e88d0ad10e989eb82d0bdb6 || AGREED: True
USER: 51ab895e88d0ad10e989eb82d0bdb6 || GROUP: cts
USER: 51ab895e88d0ad10e989eb82d0bdb6 || GOAL_INDICES: 2,0,0
USER: dc967200b041c05be435b0b98fe2dc || AGREED: True
USER: dc967200b041c05be435b0b98fe2dc || GROUP: cts
USER: dc967200b041c05be435b0b98fe2dc || GOAL_INDICES: 1,2,4
USER: 81e4a5dc87e754bc8f5ca09ea06b5c || AGREED: True
USER: 81e4a5dc87e754bc8f5ca09ea06b5c || GROUP: cts
USER: 81e4a5dc87e754bc8f5ca09ea06b5c || GOAL_INDICES: 2,3,2
USER: 73055a2253f5f15454466c6c2768d3 || AGREED: True
USER: 73055a2253f5f15454466c6c2768d3 || GROUP: cts
USER: 73055a2253f5f15454466c6c2768d3 || GOAL_INDICES: 0,0,0
USER: 95e0c876a0a9705054cc37f0aabdc7 || AGREED: True
USER: 95e0c876a0a9705054cc37f0aabdc7 || GROUP: cts
USER: 95e0c876a0a9705054cc37f0aabdc7 || GOAL_INDICES: 1,4,1
