USER: 96554bef85eff367e50863e7f47a2d || AGREED: True
USER: 96554bef85eff367e50863e7f47a2d || GROUP: cts
USER: 96554bef85eff367e50863e7f47a2d || GOAL_INDICES: 2,1,1
USER: 1c12c92ae12dfb635103a0d179258e || AGREED: True
USER: 1c12c92ae12dfb635103a0d179258e || GROUP: cts
USER: 1c12c92ae12dfb635103a0d179258e || GOAL_INDICES: 2,3,4
USER: f6d66992e1ca6efeddc7451052240e || AGREED: True
USER: f6d66992e1ca6efeddc7451052240e || GROUP: cts
USER: f6d66992e1ca6efeddc7451052240e || GOAL_INDICES: 0,1,0
USER: b0d327a4da2ba06695ab1d2874fcc0 || AGREED: True
USER: b0d327a4da2ba06695ab1d2874fcc0 || GROUP: cts
USER: b0d327a4da2ba06695ab1d2874fcc0 || GOAL_INDICES: 3,0,4
USER: 7c059fbe85a2415bec8d372f5b9a96 || AGREED: True
USER: 7c059fbe85a2415bec8d372f5b9a96 || GROUP: cts
USER: 7c059fbe85a2415bec8d372f5b9a96 || GOAL_INDICES: 1,4,3
USER: 9c684c2c6abb202ee607c3e38df6d6 || AGREED: True
USER: 9c684c2c6abb202ee607c3e38df6d6 || GROUP: cts
USER: 9c684c2c6abb202ee607c3e38df6d6 || GOAL_INDICES: 2,1,2
USER: 065a377639d60e104cfdd66f68e1db || AGREED: True
USER: 065a377639d60e104cfdd66f68e1db || GROUP: cts
USER: 065a377639d60e104cfdd66f68e1db || GOAL_INDICES: 1,2,1
USER: a655c0da4993eff5332735d36d1338 || AGREED: True
USER: a655c0da4993eff5332735d36d1338 || GROUP: cts
USER: a655c0da4993eff5332735d36d1338 || GOAL_INDICES: 1,2,1
USER: deeaf6cd3b0de1978289795e7a96df || AGREED: True
USER: deeaf6cd3b0de1978289795e7a96df || GROUP: cts
USER: deeaf6cd3b0de1978289795e7a96df || GOAL_INDICES: 3,4,2
USER: 4beb52d8d9ec24085669500b03e4dc || AGREED: True
USER: 4beb52d8d9ec24085669500b03e4dc || GROUP: cts
USER: 4beb52d8d9ec24085669500b03e4dc || GOAL_INDICES: 2,0,0
USER: 52294614b51ef6bf0986ea3aad6788 || AGREED: True
USER: 52294614b51ef6bf0986ea3aad6788 || GROUP: cts
USER: 52294614b51ef6bf0986ea3aad6788 || GOAL_INDICES: 1,2,4
