USER: 6d44179da1563592c5e344b692971e || AGREED: True
USER: 6d44179da1563592c5e344b692971e || GROUP: faq
USER: 6d44179da1563592c5e344b692971e || GOAL_INDICES: 2,1,1
USER: 9ca122597c1202b50061404326cd1d || AGREED: True
USER: 9ca122597c1202b50061404326cd1d || GROUP: faq
USER: 9ca122597c1202b50061404326cd1d || GOAL_INDICES: 2,3,4
USER: c334bbab21038ec5b0e8ef2532ca98 || AGREED: True
USER: c334bbab21038ec5b0e8ef2532ca98 || GROUP: faq
USER: c334bbab21038ec5b0e8ef2532ca98 || GOAL_INDICES: 0,1,0
USER: dd245671ec7246a2ddf0308bf900ed || AGREED: True
USER: dd245671ec7246a2ddf0308bf900ed || GROUP: faq
USER: dd245671ec7246a2ddf0308bf900ed || GOAL_INDICES: 2,1,1
USER: b8e63eafb8b739a9afbdc07936e3d9 || AGREED: True
USER: b8e63eafb8b739a9afbdc07936e3d9 || GROUP: faq
USER: b8e63eafb8b739a9afbdc07936e3d9 || GOAL_INDICES: 2,3,4
USER: 7bc26d20092c35be168b3c702b3ff5 || AGREED: True
USER: 7bc26d20092c35be168b3c702b3ff5 || GROUP: faq
USER: 7bc26d20092c35be168b3c702b3ff5 || GOAL_INDICES: 0,1,0
USER: 7981a2cb007ba83846ba25c00b163f || AGREED: True
USER: 7981a2cb007ba83846ba25c00b163f || GROUP: faq
USER: 7981a2cb007ba83846ba25c00b163f || GOAL_INDICES: 3,0,4
USER: be07cc2f28ed5eafa09a432ff5f14c || AGREED: True
USER: be07cc2f28ed5eafa09a432ff5f14c || GROUP: faq
USER: be07cc2f28ed5eafa09a432ff5f14c || GOAL_INDICES: 1,4,3
USER: 430de41a3e698669b0b72ac6369fdd || AGREED: True
USER: 430de41a3e698669b0b72ac6369fdd || GROUP: faq
USER: 430de41a3e698669b0b72ac6369fdd || GOAL_INDICES: 2,1,2
USER: de6c54120f63fc4a569c1735655b4e || AGREED: True
USER: de6c54120f63fc4a569c1735655b4e || GROUP: faq
USER: de6c54120f63fc4a569c1735655b4e || GOAL_INDICES: 1,2,1
USER: 0f7453ed7e2a7d60350698c1343c32 || AGREED: True
USER: 0f7453ed7e2a7d60350698c1343c32 || GROUP: faq
USER: 0f7453ed7e2a7d60350698c1343c32 || GOAL_INDICES: 1,2,1
USER: 70dc75e8c252d187be492c1be79b33 || AGREED: True
USER: 70dc75e8c252d187be492c1be79b33 || GROUP: faq
USER: 70dc75e8c252d187be492c1be79b33 || GOAL_INDICES: 3,4,2
USER: 9a2703aa0688484505f242f8bbf8d1 || AGREED: True
USER: 9a2703aa0688484505f242f8bbf8d1 || GROUP: faq
USER: 9a2703aa0688484505f242f8bbf8d1 || GOAL_INDICES: 2,0,0
USER: 4c56b791532b2baae6b7eba1a8af9b || AGREED: True
USER: 4c56b791532b2baae6b7eba1a8af9b || GROUP: faq
USER: 4c56b791532b2baae6b7eba1a8af9b || GOAL_INDICES: 1,2,4
USER: 7252eaa5da52fa0e0c9a7146d2c78b || AGREED: True
USER: 7252eaa5da52fa0e0c9a7146d2c78b || GROUP: faq
USER: 7252eaa5da52fa0e0c9a7146d2c78b || GOAL_INDICES: 2,3,2
USER: 373292acc466b7540b4da32575227f || AGREED: True
USER: 373292acc466b7540b4da32575227f || GROUP: faq
USER: 373292acc466b7540b4da32575227f || GOAL_INDICES: 0,0,0
USER: 88be59647581deb262307b4ba42c67 || AGREED: True
USER: 88be59647581deb262307b4ba42c67 || GROUP: faq
USER: 88be59647581deb262307b4ba42c67 || GOAL_INDICES: 1,4,1
USER: 997737fd3e5a316e16a9fe575c3c94 || AGREED: True
USER: 997737fd3e5a316e16a9fe575c3c94 || GROUP: faq
USER: 997737fd3e5a316e16a9fe575c3c94 || GOAL_INDICES: 0,1,2
USER: 39f64ccdabe4372ed615752f572e41 || AGREED: True
USER: 39f64ccdabe4372ed615752f572e41 || GROUP: faq
USER: 39f64ccdabe4372ed615752f572e41 || GOAL_INDICES: 3,2,3
USER: 7b86ffdd1f544b2ff30b86ba8b8c25 || AGREED: True
USER: 7b86ffdd1f544b2ff30b86ba8b8c25 || GROUP: faq
USER: 7b86ffdd1f544b2ff30b86ba8b8c25 || GOAL_INDICES: 2,3,2
USER: 13c8e631cc837d9daaf64eb658a0f4 || AGREED: True
USER: 13c8e631cc837d9daaf64eb658a0f4 || GROUP: faq
USER: 13c8e631cc837d9daaf64eb658a0f4 || GOAL_INDICES: 1,3,3
USER: 2c956e456918b2d8207b052c82e8d9 || AGREED: True
USER: 2c956e456918b2d8207b052c82e8d9 || GROUP: faq
USER: 2c956e456918b2d8207b052c82e8d9 || GOAL_INDICES: 0,4,0
