USER: 562db0d432a4918a3e2b4fc1ab0ac9 || AGREED: True
USER: 562db0d432a4918a3e2b4fc1ab0ac9 || GROUP: hdc
USER: 562db0d432a4918a3e2b4fc1ab0ac9 || GOAL_INDICES: 2,3,4
USER: bdd856b672ac99f02096f1b0fd6b03 || AGREED: True
USER: bdd856b672ac99f02096f1b0fd6b03 || GROUP: hdc
USER: bdd856b672ac99f02096f1b0fd6b03 || GOAL_INDICES: 0,1,0
USER: b31abe70f9457ba9f13dd77ae3863a || AGREED: True
USER: b31abe70f9457ba9f13dd77ae3863a || GROUP: hdc
USER: b31abe70f9457ba9f13dd77ae3863a || GOAL_INDICES: 3,0,4
USER: 24413921ec243ff743a5a53ffbb51c || AGREED: True
USER: 24413921ec243ff743a5a53ffbb51c || GROUP: hdc
USER: 24413921ec243ff743a5a53ffbb51c || GOAL_INDICES: 1,4,3
USER: ece2aa21ec41b1a612611f32724525 || AGREED: True
USER: ece2aa21ec41b1a612611f32724525 || GROUP: hdc
USER: ece2aa21ec41b1a612611f32724525 || GOAL_INDICES: 2,1,2
USER: daddc76437d328b08c7c776782eb34 || AGREED: True
USER: daddc76437d328b08c7c776782eb34 || GROUP: hdc
USER: daddc76437d328b08c7c776782eb34 || GOAL_INDICES: 1,2,1
USER: aa0711803864dcdab860f4e2443f8e || AGREED: True
USER: aa0711803864dcdab860f4e2443f8e || GROUP: hdc
USER: aa0711803864dcdab860f4e2443f8e || GOAL_INDICES: 1,2,1
USER: b284d3f286ce58f9587ec7c8bdc73c || AGREED: True
USER: b284d3f286ce58f9587ec7c8bdc73c || GROUP: hdc
USER: b284d3f286ce58f9587ec7c8bdc73c || GOAL_INDICES: 3,4,2
USER: 750c51071a48cb39f6b7ab22bef5f6 || AGREED: True
USER: 750c51071a48cb39f6b7ab22bef5f6 || GROUP: hdc
USER: 750c51071a48cb39f6b7ab22bef5f6 || GOAL_INDICES: 2,0,0
USER: 10fd97013def5584b50f75bf176ff9 || AGREED: True
USER: 10fd97013def5584b50f75bf176ff9 || GROUP: hdc
USER: 10fd97013def5584b50f75bf176ff9 || GOAL_INDICES: 1,2,4
USER: da23555b7f227184db93069b8fe90d || AGREED: True
USER: da23555b7f227184db93069b8fe90d || GROUP: hdc
USER: da23555b7f227184db93069b8fe90d || GOAL_INDICES: 2,3,2
USER: 5b180aecb48b50aa0900c791e31b7e || AGREED: True
USER: 5b180aecb48b50aa0900c791e31b7e || GROUP: hdc
USER: 5b180aecb48b50aa0900c791e31b7e || GOAL_INDICES: 0,0,0
USER: 36b2e74b2308778203e6aa1a67d368 || AGREED: True
USER: 36b2e74b2308778203e6aa1a67d368 || GROUP: hdc
USER: 36b2e74b2308778203e6aa1a67d368 || GOAL_INDICES: 1,4,1
USER: 750c51071a48cb39f6b7ab22bef5f6 || AGREED: True
USER: 6a545b2723bb8f31b6bbe95a2fd2e8 || AGREED: True
USER: 6a545b2723bb8f31b6bbe95a2fd2e8 || GROUP: hdc
USER: 6a545b2723bb8f31b6bbe95a2fd2e8 || GOAL_INDICES: 0,1,2
USER: 750c51071a48cb39f6b7ab22bef5f6 || AGREED: True
USER: 750c51071a48cb39f6b7ab22bef5f6 || GROUP: hdc
USER: 750c51071a48cb39f6b7ab22bef5f6 || GOAL_INDICES: 3,2,3
USER: f666f28aaa150b0282e569cdafa469 || AGREED: True
USER: f666f28aaa150b0282e569cdafa469 || GROUP: hdc
USER: f666f28aaa150b0282e569cdafa469 || GOAL_INDICES: 2,3,2
USER: 3430e4045ec89d661a7f4d1d9fa659 || AGREED: True
USER: 3430e4045ec89d661a7f4d1d9fa659 || GROUP: hdc
USER: 3430e4045ec89d661a7f4d1d9fa659 || GOAL_INDICES: 2,1,1
USER: 46ec81c0f5b71b6c29ab9ab3dc6c99 || AGREED: True
USER: 46ec81c0f5b71b6c29ab9ab3dc6c99 || GROUP: hdc
USER: 46ec81c0f5b71b6c29ab9ab3dc6c99 || GOAL_INDICES: 2,3,4
USER: 85f5482a7b17efbf91e92f3aeafa23 || AGREED: True
USER: 85f5482a7b17efbf91e92f3aeafa23 || GROUP: hdc
USER: 85f5482a7b17efbf91e92f3aeafa23 || GOAL_INDICES: 0,1,0
USER: 5037c79044cefc022ea4be342d1fb3 || AGREED: True
USER: 5037c79044cefc022ea4be342d1fb3 || GROUP: hdc
USER: 5037c79044cefc022ea4be342d1fb3 || GOAL_INDICES: 3,0,4
USER: bef4f95c2e4d20aa7762ff58cea744 || AGREED: True
USER: bef4f95c2e4d20aa7762ff58cea744 || GROUP: hdc
USER: bef4f95c2e4d20aa7762ff58cea744 || GOAL_INDICES: 1,4,3
USER: 30290a9c9bcd2bf161eb4c945c2281 || AGREED: True
USER: 30290a9c9bcd2bf161eb4c945c2281 || GROUP: hdc
USER: 30290a9c9bcd2bf161eb4c945c2281 || GOAL_INDICES: 2,1,2
USER: 362db4eff5c339f4119679dd8a63ec || AGREED: True
USER: 362db4eff5c339f4119679dd8a63ec || GROUP: hdc
USER: 362db4eff5c339f4119679dd8a63ec || GOAL_INDICES: 1,2,1
USER: 680364a9f4d189548e98bc745564ec || AGREED: True
USER: 680364a9f4d189548e98bc745564ec || GROUP: hdc
USER: 680364a9f4d189548e98bc745564ec || GOAL_INDICES: 1,2,1
USER: 2455f27c8aed531cb2046b35a292f8 || AGREED: True
USER: 2455f27c8aed531cb2046b35a292f8 || GROUP: hdc
USER: 2455f27c8aed531cb2046b35a292f8 || GOAL_INDICES: 3,4,2
