USER: 3430e4045ec89d661a7f4d1d9fa659 || AGREED: True
USER: 3430e4045ec89d661a7f4d1d9fa659 || GROUP: hdc
USER: 3430e4045ec89d661a7f4d1d9fa659 || GOAL_INDICES: 2,1,1
USER: 46ec81c0f5b71b6c29ab9ab3dc6c99 || AGREED: True
USER: 46ec81c0f5b71b6c29ab9ab3dc6c99 || GROUP: hdc
USER: 46ec81c0f5b71b6c29ab9ab3dc6c99 || GOAL_INDICES: 2,3,4
USER: 85f5482a7b17efbf91e92f3aeafa23 || AGREED: True
USER: 85f5482a7b17efbf91e92f3aeafa23 || GROUP: hdc
USER: 85f5482a7b17efbf91e92f3aeafa23 || GOAL_INDICES: 0,1,0
USER: 5037c79044cefc022ea4be342d1fb3 || AGREED: True
USER: 5037c79044cefc022ea4be342d1fb3 || GROUP: hdc
USER: 5037c79044cefc022ea4be342d1fb3 || GOAL_INDICES: 3,0,4
USER: bef4f95c2e4d20aa7762ff58cea744 || AGREED: True
USER: bef4f95c2e4d20aa7762ff58cea744 || GROUP: hdc
USER: bef4f95c2e4d20aa7762ff58cea744 || GOAL_INDICES: 1,4,3
USER: 30290a9c9bcd2bf161eb4c945c2281 || AGREED: True
USER: 30290a9c9bcd2bf161eb4c945c2281 || GROUP: hdc
USER: 30290a9c9bcd2bf161eb4c945c2281 || GOAL_INDICES: 2,1,2
USER: 362db4eff5c339f4119679dd8a63ec || AGREED: True
USER: 362db4eff5c339f4119679dd8a63ec || GROUP: hdc
USER: 362db4eff5c339f4119679dd8a63ec || GOAL_INDICES: 1,2,1
USER: 680364a9f4d189548e98bc745564ec || AGREED: True
USER: 680364a9f4d189548e98bc745564ec || GROUP: hdc
USER: 680364a9f4d189548e98bc745564ec || GOAL_INDICES: 1,2,1
USER: 2455f27c8aed531cb2046b35a292f8 || AGREED: True
USER: 2455f27c8aed531cb2046b35a292f8 || GROUP: hdc
USER: 2455f27c8aed531cb2046b35a292f8 || GOAL_INDICES: 3,4,2
