username	agent	style	Accurate	Could not understand/answer	Disliked everything	Easy to understand	Easy to use	Fast	Impersonal/Fixed text	Interaction too long	Interaction too short	Liked language style	disliked_nothing
4b9924c0c8ce326ac3c1e1688937c6	cts	baseline	0	1	0	0	0	1	0	0	0	0	0
e5de0b4b0679651ef175fceeb3413f	cts	baseline	0	1	0	0	0	0	0	0	0	0	0
7224eb019715bd25cc799d87862cf7	cts	baseline	0	1	0	0	0	1	0	0	0	0	0
2e4bd44563cdfd591a0a4bd566c308	cts	baseline	0	0	0	0	0	1	0	0	0	0	0
d9a101002e1d23b86bf785bab7b5e3	cts	baseline	0	0	0	1	0	0	1	0	0	0	0
273666715e559c45c6cc9a2e7f5033	cts	baseline	0	1	0	0	0	1	0	0	0	0	0
9597e20137307a6a6b3dc058772a5d	cts	baseline	0	0	0	0	0	1	0	0	0	0	0
4b05d78d95dab53136cd67385d52d1	cts	baseline	0	0	0	1	0	1	1	0	0	0	0
93b0ca92a0deeff80f839bb59d2f5d	cts	baseline	0	0	0	0	1	1	0	0	0	0	0
aba8a70de6cd22ed03570c48020315	cts	baseline	0	0	0	0	1	1	0	1	0	0	0
6d91b06047716a0a0b2c2cd86fdc78	cts	baseline	0	1	0	0	1	0	0	0	0	0	0
109a7e62eb34a81bd913c0b17494b2	cts	baseline	0	0	0	0	1	1	0	0	0	0	1
26b29d379574e280bd3440f53ad5a2	cts	baseline	0	0	0	0	0	1	0	0	0	0	0
47e68725c26f72d805709141e76fd0	cts	baseline	0	1	0	0	0	1	0	0	0	0	0
e5088a3c41e522ad23886b6a2eb748	cts	baseline	0	0	0	0	0	0	0	1	0	0	0
d96abd518a2b3832ed0d1255257326	cts	baseline	0	1	0	0	0	1	1	0	0	0	0
69bc89bee85d16bf7e30834c2a2b3f	cts	baseline	0	0	0	0	1	1	0	0	0	0	1
d7ea9d8d7835bb048db356e91cfce9	cts	baseline	0	1	0	1	0	1	0	0	0	0	0
57affbcf1a53cf8152a4f84b337572	cts	baseline	0	1	0	0	0	1	0	0	0	0	0
d8ea183c5c1aa1eb1d9f8b7677c4b2	cts	baseline	0	0	0	0	0	0	0	1	0	0	0
439f4ba6c2ffb420d0c05c0e246d3f	cts	baseline	0	0	0	0	0	0	0	0	0	0	0
80dce4aa2bb6e4747dea90c91ca9fe	hdc	baseline	0	1	0	0	1	0	0	0	0	0	0
fc4cff10337919ad57c935de757796	faq	baseline	0	0	0	0	0	1	0	0	1	0	0
c951b710a16924c54f90bccc29460b	hdc	baseline	0	1	0	0	0	0	0	0	0	0	0
767d6d0026f6568ed1fbe324f434ee	faq	baseline	0	0	0	0	0	0	1	0	0	0	0
ca54185f7f55c7c28a299578c6d6c1	faq	baseline	0	0	0	0	0	1	0	0	1	0	0
7addf36ad46517524764cd73b84d5b	faq	baseline	0	0	0	1	0	0	0	0	1	0	0
d3f5d2249e51c387c882cb587ba9ca	hdc	baseline	0	0	0	0	0	1	0	0	0	0	0
3531297f0bd32d54dcc23e8e8a50ad	hdc	baseline	0	0	1	0	0	0	0	0	0	0	0
266f4afc0f4957543ecd710668a801	faq	baseline	0	0	1	0	0	0	0	0	0	1	0
597bc392e979365272ccf5960b6679	faq	baseline	0	1	0	0	0	1	0	0	0	0	0
fe874db03aadd15d056f5ebd116a85	faq	baseline	0	0	0	0	1	1	1	0	0	0	0
92c512341aec50139fc63dab2be508	hdc	baseline	0	0	0	0	1	1	1	0	0	0	0
47c97ed8e9ba2195e48f663a9f35a7	hdc	baseline	0	1	0	0	0	1	0	0	0	0	0
ed81efaafec6d941adbdf96636bd6d	faq	baseline	0	1	0	0	0	1	0	0	0	0	0
0f97158978beebaeb59f4dda0db17c	hdc	baseline	0	0	1	0	0	0	0	0	0	0	0
09b1a7da8812a2efd58c0a1b92cc0b	faq	baseline	0	1	0	0	0	1	0	0	0	0	0
e100425dee079289c5660a0b2db5d1	hdc	baseline	0	0	0	0	0	0	0	1	0	0	0
5bbe9193fb7d45e2e10d3aade3aa89	hdc	baseline	0	0	0	0	0	0	0	1	0	0	0
e5e122c5a2ead5afc06e4df4c8cf78	hdc	baseline	0	1	0	0	0	1	0	0	0	1	0
63fe6663ab1740ce3d095bd3ec270f	hdc	baseline	0	0	0	1	1	0	0	0	0	0	1
85452be9505ef3ee3499d59b5300f3	faq	baseline	0	1	0	0	0	1	0	0	0	0	0
5a465be12adc3998b4fe940817cddc	hdc	baseline	0	1	0	0	0	0	0	0	0	0	0
ed751396034b4e87fb50846540d2b2	hdc	baseline	0	0	1	0	0	0	0	0	0	0	0
7f946e73fd33c3a2f15beac9248fc6	faq	baseline	0	0	1	0	0	0	0	0	0	0	0
3d9670b634a7a64e7a91bbd34c1823	hdc	baseline	1	0	0	0	1	1	1	0	0	0	0
1122e007efd6d6c220883470890125	faq	baseline	0	1	0	0	1	0	0	0	0	0	0
6a142c3f0766e201573fad3a498a84	faq	baseline	0	0	0	0	1	1	1	0	0	0	0
e004be8181957be418d758d41b56e2	faq	baseline	0	1	0	0	0	1	0	0	0	0	0
eb7cdc7219ceeb7b2862154329eca8	faq	baseline	0	0	0	0	1	0	1	0	0	0	0
443650e58eea05ea703d12d8b7cf06	faq	baseline	0	1	0	0	0	1	1	0	0	0	0
4d1e5f75ce5b1667a380c39564e7c9	faq	baseline	0	0	0	0	1	0	0	0	0	0	1
bf4b5adecf96a4d3eccdcf42e32d91	hdc	baseline	0	1	0	0	0	0	0	0	0	0	0
e5cb9660f35b9a87793344d8882510	hdc	baseline	0	0	0	0	1	0	1	0	0	1	0
bf83f3984f247796d4437afe55ffa1	hdc	baseline	0	0	1	0	0	0	0	0	0	0	0
a8ce5b01446119bd11123e13fb1607	faq	baseline	0	0	1	1	0	0	0	0	1	0	0
cb723f719b2f5633ede9aa7ae5926c	hdc	baseline	0	0	0	1	0	0	0	1	0	0	0
ba401ddeae9aef6345d8c3dbddb3bf	hdc	baseline	0	0	0	0	0	1	0	1	0	0	0
a3b3dff3fa294af607a57ff19c591d	hdc	baseline	0	1	0	0	0	0	0	0	0	0	0
5de43e36ff95340991cc2c338f85da	faq	baseline	0	0	0	0	1	1	1	0	0	0	0
232cd8e82603855aebc8caa4d53fc1	hdc	baseline	0	1	0	0	0	1	0	0	0	0	0
1d6610aff8f95079a27b87ed0804c5	faq	baseline	1	0	0	0	1	0	0	0	0	0	1
000650684db95bdac754d1c314c481	faq	baseline	0	0	0	0	0	1	1	0	0	0	0
b605a256d4c8ee8b320cb265898fa2	cts	ling_ad	0	0	0	0	0	1	1	0	0	0	0
9424463765f172f5bfb4465ca43bff	cts	ling_ad	1	0	0	1	0	1	0	0	1	0	0
cb8d48c57182851b8d62eb2400885f	cts	ling_ad	0	1	0	0	0	0	0	0	0	1	0
69e746ae2e242f850a4a29a9e50ad5	cts	ling_ad	0	1	0	0	1	0	0	0	0	0	0
7ad16eb7438e5306d32d36c3293364	cts	ling_ad	0	0	0	0	0	0	0	0	0	0	1
cf84bf013aa9ea515c3fde0121f130	cts	ling_ad	1	0	0	1	0	0	0	0	0	0	1
3dcb8bebb7e2be81eac1d967c8f678	cts	ling_ad	0	0	0	0	0	1	0	0	0	0	1
51ab895e88d0ad10e989eb82d0bdb6	cts	ling_ad	0	0	0	0	0	1	0	1	0	0	0
40ac355a1fb1d8ec9a7741b6584af6	cts	ling_ad	0	0	0	1	1	0	0	0	0	0	1
dc967200b041c05be435b0b98fe2dc	cts	ling_ad	0	0	0	0	0	0	0	0	0	0	1
73055a2253f5f15454466c6c2768d3	cts	ling_ad	0	1	0	1	1	0	0	0	0	0	0
95e0c876a0a9705054cc37f0aabdc7	cts	ling_ad	0	1	0	0	0	0	0	1	0	1	0
f6d66992e1ca6efeddc7451052240e	cts	ling_ad	0	1	0	0	0	1	0	0	0	0	0
1c12c92ae12dfb635103a0d179258e	cts	ling_ad	0	0	0	0	0	1	0	1	0	0	0
b0d327a4da2ba06695ab1d2874fcc0	cts	ling_ad	0	0	0	0	0	1	0	1	0	0	0
7c059fbe85a2415bec8d372f5b9a96	cts	ling_ad	0	1	0	0	0	0	0	0	0	0	0
96554bef85eff367e50863e7f47a2d	cts	ling_ad	1	1	0	0	0	0	1	0	0	0	0
