gender|age|experience_chatbots|experience_businesstravel|user
female|40-49|3|3|c7bb706cdb623739bf9e80c638e4eb
female|20-29|3|3|c017850ef3e9fd55350d0c8374859f
female|20-29|3|1|26436abe3d8cf85d7547e499256e3a
female|40-49|3|1|6248a541d241dda06d678a24a511ce
male|20-29|3|1|e87d3ef50c5eb08a51f6e25cdd413a
male|20-29|3|1|f94646ef8880a873c626e0b7300352
female|20-29|3|2|73ea4eee3beb783446d5e7ab391055
female|30-39|2|3|0b7848a9e1bfef18f523ef0a9d4485
female|20-29|4|3|d4627c2d60993f6c2df67458967a99
male|20-29|4|3|421203b41777bdbe17c87832aa4397
female|30-39|3|4|e0172ae6660ce8f7cee3f64ce83f52
female|50-59|5|5|34ed72f1fa250d0b32a405d1749d28
male|20-29|3|1|80da8de576df3be6d03a234c3eaf5d
male|40-49|3|3|575594d011bc94309bfd8e13775e75
female|<20|5|3|d76c5a35e00463a004b636773cace9
male|20-29|4|1|362227b24c235dd4519e7e832e57c5
female|20-29|4|2|8b5bd577fb760f1b57593c5b20255f
female|20-29|3|1|1cdb32b200c91cee6c37b37cb4fcd8
male|20-29|4|1|1fd04ab59fa554cb8a0b0e2940dc56
male|30-39|5|4|ea86552babcc89b8c31c83263d75bc
male|20-29|5|3|e12730a6828fd845263539ac3fa727
female|<20|2|3|4431d165a7ed77a50955730983b048
male|20-29|5|5|f2ce14e9fd88e1656b5949769be466
male|20-29|2|3|403e80998148a2f25a07a3a46aaeb1
