USER: 80dce4aa2bb6e4747dea90c91ca9fe || AGREED: True
USER: 80dce4aa2bb6e4747dea90c91ca9fe || GROUP: hdc
USER: 80dce4aa2bb6e4747dea90c91ca9fe || GOAL_INDICES: 2,3,1
USER: fc4cff10337919ad57c935de757796 || AGREED: True
USER: fc4cff10337919ad57c935de757796 || GROUP: faq
USER: fc4cff10337919ad57c935de757796 || GOAL_INDICES: 0,2,3
USER: c951b710a16924c54f90bccc29460b || AGREED: True
USER: c951b710a16924c54f90bccc29460b || GROUP: hdc
USER: c951b710a16924c54f90bccc29460b || GOAL_INDICES: 3,0,1
USER: 767d6d0026f6568ed1fbe324f434ee || AGREED: True
USER: 767d6d0026f6568ed1fbe324f434ee || GROUP: faq
USER: 767d6d0026f6568ed1fbe324f434ee || GOAL_INDICES: 0,4,0
USER: d3f5d2249e51c387c882cb587ba9ca || AGREED: True
USER: d3f5d2249e51c387c882cb587ba9ca || GROUP: hdc
USER: d3f5d2249e51c387c882cb587ba9ca || GOAL_INDICES: 2,2,1
USER: ca54185f7f55c7c28a299578c6d6c1 || AGREED: True
USER: ca54185f7f55c7c28a299578c6d6c1 || GROUP: faq
USER: ca54185f7f55c7c28a299578c6d6c1 || GOAL_INDICES: 1,2,3
USER: 3531297f0bd32d54dcc23e8e8a50ad || AGREED: True
USER: 3531297f0bd32d54dcc23e8e8a50ad || GROUP: hdc
USER: 3531297f0bd32d54dcc23e8e8a50ad || GOAL_INDICES: 3,0,2
USER: 7addf36ad46517524764cd73b84d5b || AGREED: True
USER: 7addf36ad46517524764cd73b84d5b || GROUP: faq
USER: 7addf36ad46517524764cd73b84d5b || GOAL_INDICES: 0,4,0
USER: 47c97ed8e9ba2195e48f663a9f35a7 || AGREED: True
USER: 47c97ed8e9ba2195e48f663a9f35a7 || GROUP: hdc
USER: 47c97ed8e9ba2195e48f663a9f35a7 || GOAL_INDICES: 3,1,4
USER: 430eebc05c79b6aea8010757d3111f || AGREED: True
USER: 430eebc05c79b6aea8010757d3111f || GROUP: faq
USER: 430eebc05c79b6aea8010757d3111f || GOAL_INDICES: 3,3,1
USER: 5bbe9193fb7d45e2e10d3aade3aa89 || AGREED: True
USER: 5bbe9193fb7d45e2e10d3aade3aa89 || GROUP: hdc
USER: 5bbe9193fb7d45e2e10d3aade3aa89 || GOAL_INDICES: 1,1,2
USER: 597bc392e979365272ccf5960b6679 || AGREED: True
USER: 597bc392e979365272ccf5960b6679 || GROUP: faq
USER: 597bc392e979365272ccf5960b6679 || GOAL_INDICES: 1,1,2
USER: e100425dee079289c5660a0b2db5d1 || AGREED: True
USER: e100425dee079289c5660a0b2db5d1 || GROUP: hdc
USER: e100425dee079289c5660a0b2db5d1 || GOAL_INDICES: 1,4,4
USER: 85452be9505ef3ee3499d59b5300f3 || AGREED: True
USER: 85452be9505ef3ee3499d59b5300f3 || GROUP: faq
USER: 85452be9505ef3ee3499d59b5300f3 || GOAL_INDICES: 1,3,0
USER: ed751396034b4e87fb50846540d2b2 || AGREED: True
USER: ed751396034b4e87fb50846540d2b2 || GROUP: hdc
USER: ed751396034b4e87fb50846540d2b2 || GOAL_INDICES: 0,2,2
USER: fe874db03aadd15d056f5ebd116a85 || AGREED: True
USER: fe874db03aadd15d056f5ebd116a85 || GROUP: faq
USER: fe874db03aadd15d056f5ebd116a85 || GOAL_INDICES: 3,2,4
USER: e5e122c5a2ead5afc06e4df4c8cf78 || AGREED: True
USER: e5e122c5a2ead5afc06e4df4c8cf78 || GROUP: hdc
USER: e5e122c5a2ead5afc06e4df4c8cf78 || GOAL_INDICES: 1,0,0
USER: 15c969d4619248175a6de4dc419fca || AGREED: True
USER: 15c969d4619248175a6de4dc419fca || GROUP: faq
USER: 15c969d4619248175a6de4dc419fca || GOAL_INDICES: 0,1,4
USER: 0f97158978beebaeb59f4dda0db17c || AGREED: True
USER: 0f97158978beebaeb59f4dda0db17c || GROUP: hdc
USER: 0f97158978beebaeb59f4dda0db17c || GOAL_INDICES: 1,1,1
USER: 266f4afc0f4957543ecd710668a801 || AGREED: True
USER: 266f4afc0f4957543ecd710668a801 || GROUP: faq
USER: 266f4afc0f4957543ecd710668a801 || GOAL_INDICES: 2,4,2
USER: 92c512341aec50139fc63dab2be508 || AGREED: True
USER: 92c512341aec50139fc63dab2be508 || GROUP: hdc
USER: 92c512341aec50139fc63dab2be508 || GOAL_INDICES: 2,3,3
USER: 09b1a7da8812a2efd58c0a1b92cc0b || AGREED: True
USER: 09b1a7da8812a2efd58c0a1b92cc0b || GROUP: faq
USER: 09b1a7da8812a2efd58c0a1b92cc0b || GOAL_INDICES: 1,1,3
USER: 5a465be12adc3998b4fe940817cddc || AGREED: True
USER: 5a465be12adc3998b4fe940817cddc || GROUP: hdc
USER: 5a465be12adc3998b4fe940817cddc || GOAL_INDICES: 2,1,4
USER: ed81efaafec6d941adbdf96636bd6d || AGREED: True
USER: ed81efaafec6d941adbdf96636bd6d || GROUP: faq
USER: ed81efaafec6d941adbdf96636bd6d || GOAL_INDICES: 0,2,2
USER: 63fe6663ab1740ce3d095bd3ec270f || AGREED: True
USER: 63fe6663ab1740ce3d095bd3ec270f || GROUP: hdc
USER: 63fe6663ab1740ce3d095bd3ec270f || GOAL_INDICES: 1,0,0
USER: 7f946e73fd33c3a2f15beac9248fc6 || AGREED: True
USER: 7f946e73fd33c3a2f15beac9248fc6 || GROUP: faq
USER: 7f946e73fd33c3a2f15beac9248fc6 || GOAL_INDICES: 2,4,4
USER: 3d9670b634a7a64e7a91bbd34c1823 || AGREED: True
USER: 3d9670b634a7a64e7a91bbd34c1823 || GROUP: hdc
USER: 3d9670b634a7a64e7a91bbd34c1823 || GOAL_INDICES: 3,3,1
USER: 1122e007efd6d6c220883470890125 || AGREED: True
USER: 1122e007efd6d6c220883470890125 || GROUP: faq
