USER: aec449b2c898300d2dba0644c6fbdc || AGREED: True
USER: aec449b2c898300d2dba0644c6fbdc || GROUP: hdc
USER: aec449b2c898300d2dba0644c6fbdc || GOAL_INDICES: 1,4,0
USER: 332d8a15d0978c8b69a9cb798902ae || AGREED: True
USER: 332d8a15d0978c8b69a9cb798902ae || GROUP: hdc
USER: 332d8a15d0978c8b69a9cb798902ae || GOAL_INDICES: 2,3,1
USER: b236cea485ea82f6eb2258a1138625 || AGREED: True
USER: b236cea485ea82f6eb2258a1138625 || GROUP: hdc
USER: b236cea485ea82f6eb2258a1138625 || GOAL_INDICES: 3,1,2
USER: 0de0133db091c6cd88cca0c3d70675 || AGREED: True
USER: 0de0133db091c6cd88cca0c3d70675 || GROUP: hdc
USER: 0de0133db091c6cd88cca0c3d70675 || GOAL_INDICES: 0,0,3
USER: 8e274a16d03e42f6ad7564c681b846 || AGREED: True
USER: 8e274a16d03e42f6ad7564c681b846 || GROUP: hdc
USER: 8e274a16d03e42f6ad7564c681b846 || GOAL_INDICES: 2,4,0
USER: 98838e0fabe776077835900567fe77 || AGREED: True
USER: 98838e0fabe776077835900567fe77 || GROUP: hdc
USER: 98838e0fabe776077835900567fe77 || GOAL_INDICES: 0,4,1
USER: 5cca9bd9892e3f913357472ddd2e57 || AGREED: True
USER: 5cca9bd9892e3f913357472ddd2e57 || GROUP: hdc
USER: 5cca9bd9892e3f913357472ddd2e57 || GOAL_INDICES: 0,2,4
USER: 07334d4eedc0b8077df4f89e62ee02 || AGREED: True
USER: 07334d4eedc0b8077df4f89e62ee02 || GROUP: hdc
USER: 07334d4eedc0b8077df4f89e62ee02 || GOAL_INDICES: 1,2,4
USER: 69052686eced1d7234ff4f76a44f6f || AGREED: True
USER: 69052686eced1d7234ff4f76a44f6f || GROUP: hdc
USER: 69052686eced1d7234ff4f76a44f6f || GOAL_INDICES: 0,3,1
USER: 89093c7379795e53aead945132ebb9 || AGREED: True
USER: 89093c7379795e53aead945132ebb9 || GROUP: hdc
USER: 89093c7379795e53aead945132ebb9 || GOAL_INDICES: 3,4,4
USER: 71873d5d8d7025ec1e717ea45d93d1 || AGREED: True
USER: 71873d5d8d7025ec1e717ea45d93d1 || GROUP: hdc
USER: 71873d5d8d7025ec1e717ea45d93d1 || GOAL_INDICES: 2,1,3
USER: cc641306573301cebaaae5367d6038 || AGREED: True
USER: cc641306573301cebaaae5367d6038 || GROUP: hdc
USER: cc641306573301cebaaae5367d6038 || GOAL_INDICES: 1,4,2
USER: 4ed4484310919400e73f46ee9d35ad || AGREED: True
USER: 4ed4484310919400e73f46ee9d35ad || GROUP: hdc
USER: 4ed4484310919400e73f46ee9d35ad || GOAL_INDICES: 0,0,2
USER: 4e18f539d7ca22c41081899b74be6b || AGREED: True
USER: 4e18f539d7ca22c41081899b74be6b || GROUP: hdc
USER: 4e18f539d7ca22c41081899b74be6b || GOAL_INDICES: 3,3,0
USER: afa75bd7fb1be9f2d67755c9ba5262 || AGREED: True
USER: afa75bd7fb1be9f2d67755c9ba5262 || GROUP: hdc
USER: afa75bd7fb1be9f2d67755c9ba5262 || GOAL_INDICES: 3,3,2
USER: fb70fb9a2cfa54fed38188d9e70ec2 || AGREED: True
USER: fb70fb9a2cfa54fed38188d9e70ec2 || GROUP: hdc
USER: fb70fb9a2cfa54fed38188d9e70ec2 || GOAL_INDICES: 0,2,1
USER: d22082d1438ac16d4b06bd47246a0d || AGREED: True
USER: d22082d1438ac16d4b06bd47246a0d || GROUP: hdc
USER: d22082d1438ac16d4b06bd47246a0d || GOAL_INDICES: 2,4,3
USER: 1b9145d1d36ee5a4af1fd329d22168 || AGREED: True
USER: 1b9145d1d36ee5a4af1fd329d22168 || GROUP: hdc
USER: 1b9145d1d36ee5a4af1fd329d22168 || GOAL_INDICES: 1,4,0
USER: 13bec8a37d8b798c6d50d6774ee04d || AGREED: True
USER: 13bec8a37d8b798c6d50d6774ee04d || GROUP: hdc
USER: 13bec8a37d8b798c6d50d6774ee04d || GOAL_INDICES: 0,0,3
USER: a57292819d50f24e294d14b878f760 || AGREED: True
USER: a57292819d50f24e294d14b878f760 || GROUP: hdc
USER: a57292819d50f24e294d14b878f760 || GOAL_INDICES: 2,1,3
USER: a57292819d50f24e294d14b878f760 || AGREED: True
USER: a57292819d50f24e294d14b878f760 || GROUP: hdc
USER: f32e6fc5471a4cdf8f03fa7ca502a7 || AGREED: True
USER: f32e6fc5471a4cdf8f03fa7ca502a7 || GROUP: hdc
USER: f32e6fc5471a4cdf8f03fa7ca502a7 || GOAL_INDICES: 2,2,2
