;Style;;;;Content
4b9924c0c8ce326ac3c1e1688937c6;Natural Language/like a person;Precise language/specific;;;Simple Questions
e5de0b4b0679651ef175fceeb3413f;;Precise language/specific;;;
7224eb019715bd25cc799d87862cf7;;Precise language/specific;keywords;;Simple Questions
273666715e559c45c6cc9a2e7f5033;;Precise language/specific;keywords;;Simple Questions
2e4bd44563cdfd591a0a4bd566c308;;;keywords;Like a search engine;Simple Questions
d9a101002e1d23b86bf785bab7b5e3;Natural Language/like a person;;;;
9597e20137307a6a6b3dc058772a5d;Natural Language/like a person;;;;
aba8a70de6cd22ed03570c48020315;Natural Language/like a person;;;Like a search engine;Simple Questions
4b05d78d95dab53136cd67385d52d1;Natural Language/like a person;;;;Simple Questions
93b0ca92a0deeff80f839bb59d2f5d;Natural Language/like a person;Precise language/specific;;;Simple Questions
6d91b06047716a0a0b2c2cd86fdc78;;Precise language/specific;;Like a search engine;
109a7e62eb34a81bd913c0b17494b2;;;;Like a search engine;
26b29d379574e280bd3440f53ad5a2;;;keywords;;
47e68725c26f72d805709141e76fd0;;;keywords;Like a search engine;
e5088a3c41e522ad23886b6a2eb748;Natural Language/like a person;;;;
d96abd518a2b3832ed0d1255257326;;;keywords;;
69bc89bee85d16bf7e30834c2a2b3f;;Precise language/specific;;;
d7ea9d8d7835bb048db356e91cfce9;;Precise language/specific;;;Simple Questions
57affbcf1a53cf8152a4f84b337572;;Precise language/specific;;Like a search engine;
d8ea183c5c1aa1eb1d9f8b7677c4b2;;Precise language/specific;;;Simple Questions
439f4ba6c2ffb420d0c05c0e246d3f;;Precise language/specific;keywords;;Simple Questions
80dce4aa2bb6e4747dea90c91ca9fe;Natural Language/like a person;;;;
fc4cff10337919ad57c935de757796;Natural Language/like a person;;;;
c951b710a16924c54f90bccc29460b;;Precise language/specific;;;
767d6d0026f6568ed1fbe324f434ee;Natural Language/like a person;;;;
3531297f0bd32d54dcc23e8e8a50ad;Natural Language/like a person;;;;
d3f5d2249e51c387c882cb587ba9ca;;;;Like a search engine;Simple Questions
ca54185f7f55c7c28a299578c6d6c1;Natural Language/like a person;;;;
7addf36ad46517524764cd73b84d5b;Natural Language/like a person;;;;
47c97ed8e9ba2195e48f663a9f35a7;Natural Language/like a person;;;;
5bbe9193fb7d45e2e10d3aade3aa89;Natural Language/like a person;;;Like a search engine;
597bc392e979365272ccf5960b6679;;Precise language/specific;;;
fe874db03aadd15d056f5ebd116a85;;Precise language/specific;keywords;;
266f4afc0f4957543ecd710668a801;Natural Language/like a person;;;;
e100425dee079289c5660a0b2db5d1;;Precise language/specific;;;
ed751396034b4e87fb50846540d2b2;Natural Language/like a person;;;;
85452be9505ef3ee3499d59b5300f3;;Precise language/specific;;;
0f97158978beebaeb59f4dda0db17c;;Precise language/specific;;;Simple Questions
09b1a7da8812a2efd58c0a1b92cc0b;Natural Language/like a person;;;;Simple Questions
92c512341aec50139fc63dab2be508;;Precise language/specific;;;
e5e122c5a2ead5afc06e4df4c8cf78;;Precise language/specific;;;
ed81efaafec6d941adbdf96636bd6d;;Precise language/specific;;;
63fe6663ab1740ce3d095bd3ec270f;;Precise language/specific;;;
5a465be12adc3998b4fe940817cddc;;;;Like a search engine;
7f946e73fd33c3a2f15beac9248fc6;Natural Language/like a person;;;Like a search engine;
3d9670b634a7a64e7a91bbd34c1823;;Precise language/specific;;;
1122e007efd6d6c220883470890125;;Precise language/specific;;;
eb7cdc7219ceeb7b2862154329eca8;Natural Language/like a person;;;;
6a142c3f0766e201573fad3a498a84;;Precise language/specific;;;
443650e58eea05ea703d12d8b7cf06;Natural Language/like a person;Precise language/specific;;Like a search engine;Simple Questions
e004be8181957be418d758d41b56e2;;Precise language/specific;;;
a3b3dff3fa294af607a57ff19c591d;;;;;
bf4b5adecf96a4d3eccdcf42e32d91;;;;Like a search engine;
ba401ddeae9aef6345d8c3dbddb3bf;;;;Like a search engine;Simple Questions
4d1e5f75ce5b1667a380c39564e7c9;;Precise language/specific;;;
bf83f3984f247796d4437afe55ffa1;;Precise language/specific;;;
a8ce5b01446119bd11123e13fb1607;Natural Language/like a person;;;;
e5cb9660f35b9a87793344d8882510;Natural Language/like a person;;;;
cb723f719b2f5633ede9aa7ae5926c;;Precise language/specific;;;
5de43e36ff95340991cc2c338f85da;;Precise language/specific;;;
1d6610aff8f95079a27b87ed0804c5;;;;Like a search engine;
232cd8e82603855aebc8caa4d53fc1;;;;Like a search engine;
000650684db95bdac754d1c314c481;Natural Language/like a person;;;Like a search engine;Simple Questions
