;Content;;;;Style;;;;;
4b9924c0c8ce326ac3c1e1688937c6;Generic Information/FAQ;;Correct/Accurate;;High level of detail;;;;Factual/non-emotional;
e5de0b4b0679651ef175fceeb3413f;;;Correct/Accurate;;High level of detail;;;;;
7224eb019715bd25cc799d87862cf7;Generic Information/FAQ;;;;High level of detail;Concise;Include sources;;;
273666715e559c45c6cc9a2e7f5033;Generic answer;;;;;;;;Formal/formulaic output;
2e4bd44563cdfd591a0a4bd566c308;Generic answer;;;;;Concise;;;;
d9a101002e1d23b86bf785bab7b5e3;Generic Information/FAQ;;;Not necessarily accurate;High level of detail;;;;;
9597e20137307a6a6b3dc058772a5d;;Personalised;;;High level of detail;;;;;
aba8a70de6cd22ed03570c48020315;;;Correct/Accurate;Not necessarily accurate;;;;;;
4b05d78d95dab53136cd67385d52d1;;;;;;Concise;;Casual/friendly tone;Formal/formulaic output;
93b0ca92a0deeff80f839bb59d2f5d;Generic Information/FAQ;;;;High level of detail;;;;Formal/formulaic output;
6d91b06047716a0a0b2c2cd86fdc78;Generic Information/FAQ;;Correct/Accurate;;;;;;;
109a7e62eb34a81bd913c0b17494b2;;;;;High level of detail;;;Casual/friendly tone;Formal/formulaic output;
26b29d379574e280bd3440f53ad5a2;Generic Information/FAQ;;;;High level of detail;;;;;
47e68725c26f72d805709141e76fd0;;;;Not necessarily accurate;;;;;Factual/non-emotional;
e5088a3c41e522ad23886b6a2eb748;;;Correct/Accurate;;;;Include sources;;Factual/non-emotional;
d96abd518a2b3832ed0d1255257326;Generic Information/FAQ;;;;;;;;Factual/non-emotional;
69bc89bee85d16bf7e30834c2a2b3f;;;Correct/Accurate;;;;;;;
d7ea9d8d7835bb048db356e91cfce9;Generic Information/FAQ;;Correct/Accurate;;;;;;Formal/formulaic output;
57affbcf1a53cf8152a4f84b337572;;Personalised;;;High level of detail;;;;;
d8ea183c5c1aa1eb1d9f8b7677c4b2;Generic Information/FAQ;;;;;;Include sources;;;
439f4ba6c2ffb420d0c05c0e246d3f;Generic Information/FAQ;;;Not necessarily accurate;High level of detail;;;;;
80dce4aa2bb6e4747dea90c91ca9fe;Generic Information/FAQ;;;;;;;;;
fc4cff10337919ad57c935de757796;Generic Information/FAQ;;Correct/Accurate;;;;;;;
c951b710a16924c54f90bccc29460b;Generic Information/FAQ;;;;;;;;Factual/non-emotional;
767d6d0026f6568ed1fbe324f434ee;;;;;;;;;;
3531297f0bd32d54dcc23e8e8a50ad;Generic answer;;;;;;;Casual/friendly tone;;
d3f5d2249e51c387c882cb587ba9ca;Generic answer;;;;;;;;;
ca54185f7f55c7c28a299578c6d6c1;Generic answer;;Correct/Accurate;Not necessarily accurate;;;;;;
7addf36ad46517524764cd73b84d5b;Generic answer;Personalised;;Not necessarily accurate;;;;Casual/friendly tone;;
47c97ed8e9ba2195e48f663a9f35a7;Generic Information/FAQ;;Correct/Accurate;;High level of detail;;;Casual/friendly tone;Formal/formulaic output;
5bbe9193fb7d45e2e10d3aade3aa89;Generic Information/FAQ;;;;;;;;;
597bc392e979365272ccf5960b6679;Generic Information/FAQ;;;;;Concise;;Casual/friendly tone;;
fe874db03aadd15d056f5ebd116a85;Generic Information/FAQ;;;;;Concise;Include sources;;Formal/formulaic output;
266f4afc0f4957543ecd710668a801;Generic Information/FAQ;;Correct/Accurate;;;;;;;
e100425dee079289c5660a0b2db5d1;Generic Information/FAQ;;Correct/Accurate;;;Concise;;;Formal/formulaic output;
ed751396034b4e87fb50846540d2b2;;;Correct/Accurate;;;;;;;
85452be9505ef3ee3499d59b5300f3;Generic Information/FAQ;;Correct/Accurate;;High level of detail;;;;Formal/formulaic output;
0f97158978beebaeb59f4dda0db17c;Generic Information/FAQ;;Correct/Accurate;;;;;;;
09b1a7da8812a2efd58c0a1b92cc0b;Generic Information/FAQ;;Correct/Accurate;;;;;;;
92c512341aec50139fc63dab2be508;;;Correct/Accurate;;High level of detail;;;;Formal/formulaic output;
e5e122c5a2ead5afc06e4df4c8cf78;Generic Information/FAQ;;Correct/Accurate;;High level of detail;Concise;;;;
ed81efaafec6d941adbdf96636bd6d;Generic Information/FAQ;;;;;;Include sources;;;
63fe6663ab1740ce3d095bd3ec270f;Generic Information/FAQ;;;;;Concise;Include sources;;;
5a465be12adc3998b4fe940817cddc;Generic Information/FAQ;;;;High level of detail;;;;;
7f946e73fd33c3a2f15beac9248fc6;;;;;High level of detail;;;;;
3d9670b634a7a64e7a91bbd34c1823;Generic Information/FAQ;;Correct/Accurate;;;;;;;
1122e007efd6d6c220883470890125;;Personalised;Correct/Accurate;;High level of detail;;;;;
eb7cdc7219ceeb7b2862154329eca8;Generic Information/FAQ;;Correct/Accurate;;;;Include sources;Casual/friendly tone;;
6a142c3f0766e201573fad3a498a84;Generic Information/FAQ;;;;;;;;;
443650e58eea05ea703d12d8b7cf06;Generic Information/FAQ;;Correct/Accurate;;High level of detail;;;;Formal/formulaic output;
e004be8181957be418d758d41b56e2;Generic answer;;;;;;;;;
a3b3dff3fa294af607a57ff19c591d;Generic answer;;;;High level of detail;;;;;
bf4b5adecf96a4d3eccdcf42e32d91;Generic answer;;Correct/Accurate;;;;;;;
ba401ddeae9aef6345d8c3dbddb3bf;Generic Information/FAQ;;;;High level of detail;;;;Formal/formulaic output;
4d1e5f75ce5b1667a380c39564e7c9;Generic Information/FAQ;;;Not necessarily accurate;;;;;;
bf83f3984f247796d4437afe55ffa1;;Personalised;;Not necessarily accurate;;;;;Formal/formulaic output;
a8ce5b01446119bd11123e13fb1607;Generic Information/FAQ;Personalised;Correct/Accurate;;;;;;;
e5cb9660f35b9a87793344d8882510;Generic answer;Personalised;;;;Concise;;Casual/friendly tone;;
cb723f719b2f5633ede9aa7ae5926c;;;Correct/Accurate;;;;;;Factual/non-emotional;
5de43e36ff95340991cc2c338f85da;Generic Information/FAQ;;;;High level of detail;;;Casual/friendly tone;;
1d6610aff8f95079a27b87ed0804c5;Generic Information/FAQ;Personalised;;;;Concise;;;;
232cd8e82603855aebc8caa4d53fc1;Generic answer;Personalised;;;;;;;;
000650684db95bdac754d1c314c481;;;Correct/Accurate;;High level of detail;;;;;
