USER: d8ea183c5c1aa1eb1d9f8b7677c4b2 || AGREED: True
USER: d8ea183c5c1aa1eb1d9f8b7677c4b2 || GROUP: cts
USER: d8ea183c5c1aa1eb1d9f8b7677c4b2 || GOAL_INDICES: 2,3,1
USER: d7ea9d8d7835bb048db356e91cfce9 || AGREED: True
USER: d7ea9d8d7835bb048db356e91cfce9 || GROUP: cts
USER: d7ea9d8d7835bb048db356e91cfce9 || GOAL_INDICES: 0,2,3
USER: 69bc89bee85d16bf7e30834c2a2b3f || AGREED: True
USER: 69bc89bee85d16bf7e30834c2a2b3f || GROUP: cts
USER: 69bc89bee85d16bf7e30834c2a2b3f || GOAL_INDICES: 3,0,1
USER: 49b4bd03254cbc349aa6877955e650 || AGREED: True
USER: 49b4bd03254cbc349aa6877955e650 || GROUP: cts
USER: 49b4bd03254cbc349aa6877955e650 || GOAL_INDICES: 0,4,0
USER: 57affbcf1a53cf8152a4f84b337572 || AGREED: True
USER: 57affbcf1a53cf8152a4f84b337572 || GROUP: cts
USER: 57affbcf1a53cf8152a4f84b337572 || GOAL_INDICES: 3,1,4
USER: 731429380e2e81e8c853150f972f36 || AGREED: True
USER: 731429380e2e81e8c853150f972f36 || GROUP: cts
USER: 731429380e2e81e8c853150f972f36 || GOAL_INDICES: 2,3,1
USER: 439f4ba6c2ffb420d0c05c0e246d3f || AGREED: True
USER: 439f4ba6c2ffb420d0c05c0e246d3f || GROUP: cts
USER: 439f4ba6c2ffb420d0c05c0e246d3f || GOAL_INDICES: 1,2,2
USER: f4614f93c9ee94cc1c0c4c63f4ee04 || AGREED: True
USER: f4614f93c9ee94cc1c0c4c63f4ee04 || GROUP: cts
USER: f4614f93c9ee94cc1c0c4c63f4ee04 || GOAL_INDICES: 2,3,1
USER: 26b29d379574e280bd3440f53ad5a2 || AGREED: True
USER: 26b29d379574e280bd3440f53ad5a2 || GROUP: cts
USER: 26b29d379574e280bd3440f53ad5a2 || GOAL_INDICES: 1,2,3
USER: d96abd518a2b3832ed0d1255257326 || AGREED: True
USER: d96abd518a2b3832ed0d1255257326 || GROUP: cts
USER: d96abd518a2b3832ed0d1255257326 || GOAL_INDICES: 3,0,1
USER: 47e68725c26f72d805709141e76fd0 || AGREED: True
USER: 47e68725c26f72d805709141e76fd0 || GROUP: cts
USER: 47e68725c26f72d805709141e76fd0 || GOAL_INDICES: 0,4,0
USER: e5088a3c41e522ad23886b6a2eb748 || AGREED: True
USER: e5088a3c41e522ad23886b6a2eb748 || GROUP: cts
USER: e5088a3c41e522ad23886b6a2eb748 || GOAL_INDICES: 3,1,4
USER: ac85f8f7a0d0e17632ed5be82ae7af || AGREED: True
USER: ac85f8f7a0d0e17632ed5be82ae7af || GROUP: cts
USER: ac85f8f7a0d0e17632ed5be82ae7af || GOAL_INDICES: 2,3,1
USER: aba8a70de6cd22ed03570c48020315 || AGREED: True
USER: aba8a70de6cd22ed03570c48020315 || GROUP: cts
USER: aba8a70de6cd22ed03570c48020315 || GOAL_INDICES: 0,2,2
USER: 9597e20137307a6a6b3dc058772a5d || AGREED: True
USER: 9597e20137307a6a6b3dc058772a5d || GROUP: cts
USER: 9597e20137307a6a6b3dc058772a5d || GOAL_INDICES: 3,0,2
USER: 6d91b06047716a0a0b2c2cd86fdc78 || AGREED: True
USER: 6d91b06047716a0a0b2c2cd86fdc78 || GROUP: cts
USER: 6d91b06047716a0a0b2c2cd86fdc78 || GOAL_INDICES: 0,4,0
USER: 93b0ca92a0deeff80f839bb59d2f5d || AGREED: True
USER: 93b0ca92a0deeff80f839bb59d2f5d || GROUP: cts
USER: 93b0ca92a0deeff80f839bb59d2f5d || GOAL_INDICES: 3,2,4
USER: 4b05d78d95dab53136cd67385d52d1 || AGREED: True
USER: 4b05d78d95dab53136cd67385d52d1 || GROUP: cts
USER: 4b05d78d95dab53136cd67385d52d1 || GOAL_INDICES: 3,3,1
USER: 109a7e62eb34a81bd913c0b17494b2 || AGREED: True
USER: 109a7e62eb34a81bd913c0b17494b2 || GROUP: cts
USER: 109a7e62eb34a81bd913c0b17494b2 || GOAL_INDICES: 1,1,3
USER: 4b9924c0c8ce326ac3c1e1688937c6 || AGREED: True
USER: 4b9924c0c8ce326ac3c1e1688937c6 || GROUP: cts
USER: 4b9924c0c8ce326ac3c1e1688937c6 || GOAL_INDICES: 2,3,1
USER: 2e4bd44563cdfd591a0a4bd566c308 || AGREED: True
USER: 2e4bd44563cdfd591a0a4bd566c308 || GROUP: cts
USER: 2e4bd44563cdfd591a0a4bd566c308 || GOAL_INDICES: 1,2,3
USER: 7224eb019715bd25cc799d87862cf7 || AGREED: True
USER: 7224eb019715bd25cc799d87862cf7 || GROUP: cts
USER: 7224eb019715bd25cc799d87862cf7 || GOAL_INDICES: 3,0,1
USER: d9a101002e1d23b86bf785bab7b5e3 || AGREED: True
USER: d9a101002e1d23b86bf785bab7b5e3 || GROUP: cts
USER: d9a101002e1d23b86bf785bab7b5e3 || GOAL_INDICES: 0,4,0
USER: e5de0b4b0679651ef175fceeb3413f || AGREED: True
USER: e5de0b4b0679651ef175fceeb3413f || GROUP: cts
USER: e5de0b4b0679651ef175fceeb3413f || GOAL_INDICES: 3,2,4
USER: 9938b0e41bc9ee7b9ec9087e0d4a28 || AGREED: True
USER: 9938b0e41bc9ee7b9ec9087e0d4a28 || GROUP: cts
USER: 9938b0e41bc9ee7b9ec9087e0d4a28 || GOAL_INDICES: 3,3,1
USER: 273666715e559c45c6cc9a2e7f5033 || AGREED: True
USER: 273666715e559c45c6cc9a2e7f5033 || GROUP: cts
USER: 273666715e559c45c6cc9a2e7f5033 || GOAL_INDICES: 1,1,2
USER: 1fd4736bcd456d02458c2a32944e60 || AGREED: True
USER: 1fd4736bcd456d02458c2a32944e60 || GROUP: cts
USER: 1fd4736bcd456d02458c2a32944e60 || GOAL_INDICES: 1,1,2
USER: 80dce4aa2bb6e4747dea90c91ca9fe || AGREED: True
USER: 80dce4aa2bb6e4747dea90c91ca9fe || GROUP: hdc
USER: 80dce4aa2bb6e4747dea90c91ca9fe || GOAL_INDICES: 2,3,1
USER: fc4cff10337919ad57c935de757796 || AGREED: True
USER: fc4cff10337919ad57c935de757796 || GROUP: faq
USER: fc4cff10337919ad57c935de757796 || GOAL_INDICES: 0,2,3
USER: c951b710a16924c54f90bccc29460b || AGREED: True
USER: c951b710a16924c54f90bccc29460b || GROUP: hdc
USER: c951b710a16924c54f90bccc29460b || GOAL_INDICES: 3,0,1
USER: 767d6d0026f6568ed1fbe324f434ee || AGREED: True
USER: 767d6d0026f6568ed1fbe324f434ee || GROUP: faq
USER: 767d6d0026f6568ed1fbe324f434ee || GOAL_INDICES: 0,4,0
USER: d3f5d2249e51c387c882cb587ba9ca || AGREED: True
USER: d3f5d2249e51c387c882cb587ba9ca || GROUP: hdc
USER: d3f5d2249e51c387c882cb587ba9ca || GOAL_INDICES: 2,2,1
USER: ca54185f7f55c7c28a299578c6d6c1 || AGREED: True
USER: ca54185f7f55c7c28a299578c6d6c1 || GROUP: faq
USER: ca54185f7f55c7c28a299578c6d6c1 || GOAL_INDICES: 1,2,3
USER: 3531297f0bd32d54dcc23e8e8a50ad || AGREED: True
USER: 3531297f0bd32d54dcc23e8e8a50ad || GROUP: hdc
USER: 3531297f0bd32d54dcc23e8e8a50ad || GOAL_INDICES: 3,0,2
USER: 7addf36ad46517524764cd73b84d5b || AGREED: True
USER: 7addf36ad46517524764cd73b84d5b || GROUP: faq
USER: 7addf36ad46517524764cd73b84d5b || GOAL_INDICES: 0,4,0
USER: 47c97ed8e9ba2195e48f663a9f35a7 || AGREED: True
USER: 47c97ed8e9ba2195e48f663a9f35a7 || GROUP: hdc
USER: 47c97ed8e9ba2195e48f663a9f35a7 || GOAL_INDICES: 3,1,4
USER: 430eebc05c79b6aea8010757d3111f || AGREED: True
USER: 430eebc05c79b6aea8010757d3111f || GROUP: faq
USER: 430eebc05c79b6aea8010757d3111f || GOAL_INDICES: 3,3,1
USER: 5bbe9193fb7d45e2e10d3aade3aa89 || AGREED: True
USER: 5bbe9193fb7d45e2e10d3aade3aa89 || GROUP: hdc
USER: 5bbe9193fb7d45e2e10d3aade3aa89 || GOAL_INDICES: 1,1,2
USER: 597bc392e979365272ccf5960b6679 || AGREED: True
USER: 597bc392e979365272ccf5960b6679 || GROUP: faq
USER: 597bc392e979365272ccf5960b6679 || GOAL_INDICES: 1,1,2
USER: e100425dee079289c5660a0b2db5d1 || AGREED: True
USER: e100425dee079289c5660a0b2db5d1 || GROUP: hdc
USER: e100425dee079289c5660a0b2db5d1 || GOAL_INDICES: 1,4,4
USER: 85452be9505ef3ee3499d59b5300f3 || AGREED: True
USER: 85452be9505ef3ee3499d59b5300f3 || GROUP: faq
USER: 85452be9505ef3ee3499d59b5300f3 || GOAL_INDICES: 1,3,0
USER: ed751396034b4e87fb50846540d2b2 || AGREED: True
USER: ed751396034b4e87fb50846540d2b2 || GROUP: hdc
USER: ed751396034b4e87fb50846540d2b2 || GOAL_INDICES: 0,2,2
USER: fe874db03aadd15d056f5ebd116a85 || AGREED: True
USER: fe874db03aadd15d056f5ebd116a85 || GROUP: faq
USER: fe874db03aadd15d056f5ebd116a85 || GOAL_INDICES: 3,2,4
USER: e5e122c5a2ead5afc06e4df4c8cf78 || AGREED: True
USER: e5e122c5a2ead5afc06e4df4c8cf78 || GROUP: hdc
USER: e5e122c5a2ead5afc06e4df4c8cf78 || GOAL_INDICES: 1,0,0
USER: 15c969d4619248175a6de4dc419fca || AGREED: True
USER: 15c969d4619248175a6de4dc419fca || GROUP: faq
USER: 15c969d4619248175a6de4dc419fca || GOAL_INDICES: 0,1,4
USER: 0f97158978beebaeb59f4dda0db17c || AGREED: True
USER: 0f97158978beebaeb59f4dda0db17c || GROUP: hdc
USER: 0f97158978beebaeb59f4dda0db17c || GOAL_INDICES: 1,1,1
USER: 266f4afc0f4957543ecd710668a801 || AGREED: True
USER: 266f4afc0f4957543ecd710668a801 || GROUP: faq
USER: 266f4afc0f4957543ecd710668a801 || GOAL_INDICES: 2,4,2
USER: 92c512341aec50139fc63dab2be508 || AGREED: True
USER: 92c512341aec50139fc63dab2be508 || GROUP: hdc
USER: 92c512341aec50139fc63dab2be508 || GOAL_INDICES: 2,3,3
USER: 09b1a7da8812a2efd58c0a1b92cc0b || AGREED: True
USER: 09b1a7da8812a2efd58c0a1b92cc0b || GROUP: faq
USER: 09b1a7da8812a2efd58c0a1b92cc0b || GOAL_INDICES: 1,1,3
USER: 5a465be12adc3998b4fe940817cddc || AGREED: True
USER: 5a465be12adc3998b4fe940817cddc || GROUP: hdc
USER: 5a465be12adc3998b4fe940817cddc || GOAL_INDICES: 2,1,4
USER: ed81efaafec6d941adbdf96636bd6d || AGREED: True
USER: ed81efaafec6d941adbdf96636bd6d || GROUP: faq
USER: ed81efaafec6d941adbdf96636bd6d || GOAL_INDICES: 0,2,2
USER: 63fe6663ab1740ce3d095bd3ec270f || AGREED: True
USER: 63fe6663ab1740ce3d095bd3ec270f || GROUP: hdc
USER: 63fe6663ab1740ce3d095bd3ec270f || GOAL_INDICES: 1,0,0
USER: 7f946e73fd33c3a2f15beac9248fc6 || AGREED: True
USER: 7f946e73fd33c3a2f15beac9248fc6 || GROUP: faq
USER: 7f946e73fd33c3a2f15beac9248fc6 || GOAL_INDICES: 2,4,4
USER: 3d9670b634a7a64e7a91bbd34c1823 || AGREED: True
USER: 3d9670b634a7a64e7a91bbd34c1823 || GROUP: hdc
USER: 3d9670b634a7a64e7a91bbd34c1823 || GOAL_INDICES: 3,3,1
USER: 1122e007efd6d6c220883470890125 || AGREED: True
USER: 1122e007efd6d6c220883470890125 || GROUP: faq
USER: 1122e007efd6d6c220883470890125 || GOAL_INDICES: 0,3,3
USER: cb723f719b2f5633ede9aa7ae5926c || AGREED: True
USER: cb723f719b2f5633ede9aa7ae5926c || GROUP: hdc
USER: cb723f719b2f5633ede9aa7ae5926c || GOAL_INDICES: 3,0,1
USER: 6a142c3f0766e201573fad3a498a84 || AGREED: True
USER: 6a142c3f0766e201573fad3a498a84 || GROUP: faq
USER: 6a142c3f0766e201573fad3a498a84 || GOAL_INDICES: 0,4,0
USER: 6e6ed1b576c8f271b519a059d5bf0d || AGREED: True
USER: 6e6ed1b576c8f271b519a059d5bf0d || GROUP: hdc
USER: 6e6ed1b576c8f271b519a059d5bf0d || GOAL_INDICES: 3,2,3
USER: eb7cdc7219ceeb7b2862154329eca8 || AGREED: True
USER: eb7cdc7219ceeb7b2862154329eca8 || GROUP: faq
USER: eb7cdc7219ceeb7b2862154329eca8 || GOAL_INDICES: 3,3,1
USER: 9134a2d62dec15e5071b015eae0346 || AGREED: True
USER: 9134a2d62dec15e5071b015eae0346 || GROUP: hdc
USER: 9134a2d62dec15e5071b015eae0346 || GOAL_INDICES: 2,2,2
USER: 5de43e36ff95340991cc2c338f85da || AGREED: True
USER: 5de43e36ff95340991cc2c338f85da || GROUP: faq
USER: 5de43e36ff95340991cc2c338f85da || GOAL_INDICES: 1,1,2
USER: a29dd94e0f6aa64e2ca7fe7c42be6f || AGREED: True
USER: a29dd94e0f6aa64e2ca7fe7c42be6f || GROUP: hdc
USER: a29dd94e0f6aa64e2ca7fe7c42be6f || GOAL_INDICES: 1,4,4
USER: 443650e58eea05ea703d12d8b7cf06 || AGREED: True
USER: 443650e58eea05ea703d12d8b7cf06 || GROUP: faq
USER: 443650e58eea05ea703d12d8b7cf06 || GOAL_INDICES: 1,3,0
USER: ba401ddeae9aef6345d8c3dbddb3bf || AGREED: True
USER: ba401ddeae9aef6345d8c3dbddb3bf || GROUP: hdc
USER: ba401ddeae9aef6345d8c3dbddb3bf || GOAL_INDICES: 0,2,2
USER: 0109923cc9a91481389577e7d89df3 || AGREED: True
USER: 0109923cc9a91481389577e7d89df3 || GROUP: faq
USER: 0109923cc9a91481389577e7d89df3 || GOAL_INDICES: 3,2,3
USER: bf83f3984f247796d4437afe55ffa1 || AGREED: True
USER: bf83f3984f247796d4437afe55ffa1 || GROUP: hdc
USER: bf83f3984f247796d4437afe55ffa1 || GOAL_INDICES: 1,0,0
USER: e004be8181957be418d758d41b56e2 || AGREED: True
USER: e004be8181957be418d758d41b56e2 || GROUP: faq
USER: e004be8181957be418d758d41b56e2 || GOAL_INDICES: 0,1,4
USER: efe3e9656f07991690a7ef1d71908b || AGREED: True
USER: efe3e9656f07991690a7ef1d71908b || GROUP: hdc
