USER: d8ea183c5c1aa1eb1d9f8b7677c4b2 || AGREED: True
USER: d8ea183c5c1aa1eb1d9f8b7677c4b2 || GROUP: cts
USER: d8ea183c5c1aa1eb1d9f8b7677c4b2 || GOAL_INDICES: 2,3,1
USER: d7ea9d8d7835bb048db356e91cfce9 || AGREED: True
USER: d7ea9d8d7835bb048db356e91cfce9 || GROUP: cts
USER: d7ea9d8d7835bb048db356e91cfce9 || GOAL_INDICES: 0,2,3
USER: 69bc89bee85d16bf7e30834c2a2b3f || AGREED: True
USER: 69bc89bee85d16bf7e30834c2a2b3f || GROUP: cts
USER: 69bc89bee85d16bf7e30834c2a2b3f || GOAL_INDICES: 3,0,1
USER: 49b4bd03254cbc349aa6877955e650 || AGREED: True
USER: 49b4bd03254cbc349aa6877955e650 || GROUP: cts
USER: 49b4bd03254cbc349aa6877955e650 || GOAL_INDICES: 0,4,0
USER: 57affbcf1a53cf8152a4f84b337572 || AGREED: True
USER: 57affbcf1a53cf8152a4f84b337572 || GROUP: cts
USER: 57affbcf1a53cf8152a4f84b337572 || GOAL_INDICES: 3,1,4
USER: 731429380e2e81e8c853150f972f36 || AGREED: True
USER: 731429380e2e81e8c853150f972f36 || GROUP: cts
USER: 731429380e2e81e8c853150f972f36 || GOAL_INDICES: 2,3,1
USER: 439f4ba6c2ffb420d0c05c0e246d3f || AGREED: True
USER: 439f4ba6c2ffb420d0c05c0e246d3f || GROUP: cts
USER: 439f4ba6c2ffb420d0c05c0e246d3f || GOAL_INDICES: 1,2,2
USER: f4614f93c9ee94cc1c0c4c63f4ee04 || AGREED: True
USER: f4614f93c9ee94cc1c0c4c63f4ee04 || GROUP: cts
USER: f4614f93c9ee94cc1c0c4c63f4ee04 || GOAL_INDICES: 2,3,1
USER: 26b29d379574e280bd3440f53ad5a2 || AGREED: True
USER: 26b29d379574e280bd3440f53ad5a2 || GROUP: cts
USER: 26b29d379574e280bd3440f53ad5a2 || GOAL_INDICES: 1,2,3
USER: d96abd518a2b3832ed0d1255257326 || AGREED: True
USER: d96abd518a2b3832ed0d1255257326 || GROUP: cts
USER: d96abd518a2b3832ed0d1255257326 || GOAL_INDICES: 3,0,1
USER: 47e68725c26f72d805709141e76fd0 || AGREED: True
USER: 47e68725c26f72d805709141e76fd0 || GROUP: cts
USER: 47e68725c26f72d805709141e76fd0 || GOAL_INDICES: 0,4,0
USER: e5088a3c41e522ad23886b6a2eb748 || AGREED: True
USER: e5088a3c41e522ad23886b6a2eb748 || GROUP: cts
USER: e5088a3c41e522ad23886b6a2eb748 || GOAL_INDICES: 3,1,4
