USER: 9877fb75af4508e849ed7adb7480db || AGREED: True
USER: 9877fb75af4508e849ed7adb7480db || GROUP: cts
USER: 9877fb75af4508e849ed7adb7480db || GOAL_INDICES: 2,3,1
USER: a72ccd3c97dbff35c64be57705f1b4 || AGREED: True
USER: a72ccd3c97dbff35c64be57705f1b4 || GROUP: cts
USER: a72ccd3c97dbff35c64be57705f1b4 || GOAL_INDICES: 0,2,3
USER: 49b237864c53b76a32587ee0b1ad31 || AGREED: True
USER: 49b237864c53b76a32587ee0b1ad31 || GROUP: cts
USER: 49b237864c53b76a32587ee0b1ad31 || GOAL_INDICES: 3,0,1
USER: c19c0758d1c5fe7d22829e40f68877 || AGREED: True
USER: c19c0758d1c5fe7d22829e40f68877 || GROUP: cts
USER: c19c0758d1c5fe7d22829e40f68877 || GOAL_INDICES: 0,4,0
USER: a766582beb460c7dd1d66eb9aa7e8d || AGREED: True
USER: a766582beb460c7dd1d66eb9aa7e8d || GROUP: cts
USER: a766582beb460c7dd1d66eb9aa7e8d || GOAL_INDICES: 3,1,4
