USER: 80dce4aa2bb6e4747dea90c91ca9fe || AGREED: True
USER: 80dce4aa2bb6e4747dea90c91ca9fe || GROUP: hdc
USER: 80dce4aa2bb6e4747dea90c91ca9fe || GOAL_INDICES: 2,3,1
USER: fc4cff10337919ad57c935de757796 || AGREED: True
USER: fc4cff10337919ad57c935de757796 || GROUP: faq
USER: fc4cff10337919ad57c935de757796 || GOAL_INDICES: 0,2,3
USER: c951b710a16924c54f90bccc29460b || AGREED: True
USER: c951b710a16924c54f90bccc29460b || GROUP: hdc
USER: c951b710a16924c54f90bccc29460b || GOAL_INDICES: 3,0,1
USER: 767d6d0026f6568ed1fbe324f434ee || AGREED: True
USER: 767d6d0026f6568ed1fbe324f434ee || GROUP: faq
USER: 767d6d0026f6568ed1fbe324f434ee || GOAL_INDICES: 0,4,0
