USER: 7339b44f18de1d0d46a257f03e820d || AGREED: True
USER: 7339b44f18de1d0d46a257f03e820d || GROUP: hdc
USER: 7339b44f18de1d0d46a257f03e820d || GOAL_INDEX: 0
USER: 51c10c217bcecd31011f6de8bd7139 || AGREED: True
USER: 51c10c217bcecd31011f6de8bd7139 || GROUP: faq
USER: 51c10c217bcecd31011f6de8bd7139 || GOAL_INDEX: 1
USER: b4b8f1d54afc890a7264858b7e3167 || AGREED: True
USER: b4b8f1d54afc890a7264858b7e3167 || GROUP: cts
USER: b4b8f1d54afc890a7264858b7e3167 || GOAL_INDEX: 2
USER: 2fae24da56216ebe2a668c4f5116f8 || AGREED: True
USER: 2fae24da56216ebe2a668c4f5116f8 || GROUP: hdc
USER: 2fae24da56216ebe2a668c4f5116f8 || GOAL_INDEX: 3
USER: 918d608670e305a3ebc70bad52dc96 || AGREED: True
USER: 918d608670e305a3ebc70bad52dc96 || GROUP: faq
USER: 918d608670e305a3ebc70bad52dc96 || GOAL_INDEX: 0
USER: 6be779a6661206ff8a46af68434afa || AGREED: True
USER: 6be779a6661206ff8a46af68434afa || GROUP: cts
USER: 6be779a6661206ff8a46af68434afa || GOAL_INDEX: 1
